%Soil;Acrisol;Alisol;Andosol;Arenosol;Cambisol;Ferralsol;Fluvisol;Gleysol;Leptosol;Lixisol;Luvisol;Nitosol;Phaeozem;Plinthosol;Podzol;Regosol;Solonetz;Vertsol
Purus1;18.85168534;;;;;;22.26484597;6.372886235;;;;;;52.51056419;;;;
Purus2;10.13206833;;;;;;20.5390135;;;;;;;69.32881747;;;;
Purus3;47.73707488;;;;20.71199656;8.975123231;9.59215595;0.441048749;;0.79246465;;;;11.7498967;;;;
Putumayo;71.4024634;0.047288786;;;2.77516548;0.9649383;;21.87673941;2.090022508;;;;;0.843177213;;;;
Roosevelt;63.35722235;;;11.50916868;;10.89147233;;;;14.24207553;;;;;;;;
Santiago;;;2.896656832;;62.77861007;;;0.007037934;30.67269026;;;;;;;0.909343396;;2.735252194
Solimoes1;9.833786176;;;;;9.035830951;;20.86591272;;;;;;60.264562;;;;
Solimoes2;61.01053228;;;;;;0.57982085;19.81287543;;;;;;18.59681387;;;;
Solimoes3;35.02592952;;;;;;;25.57269788;;;;;;39.40136675;;;;
Solimoes4;0.181702552;;;;;;0.110124139;41.18099892;;;;;;58.52712564;;;;
Solimoes7;46.88006566;;;;;;5.074245465;33.65422694;;;;;;14.39131659;;;;
Solimoes8;73.94983961;;;;;;;26.04995414;;;;;;;;;;
Solimoes9;83.56735816;6.882489277;;;;;;9.549875481;;;;;;;;;;
Tapajos1;34.46311703;;;;;63.67539341;;1.861718677;;;;;;;;;;
Tapajos2;4.91771802;;;;;69.40365548;;;4.17624775;;;;;;;21.50249675;;
Tapaua;5.351611395;;;;;;12.81986689;;;;;;;81.82839998;;;;
Tefe;0.350422677;;;;;;11.45266613;0.859715194;;;;;;87.33713969;;;;
Teles_Pires;1.212827979;;;0.153536118;3.354578326;59.45339274;;;15.84376431;;;;;;;19.9819451;;
Tigre;12.55069411;8.736205051;;;58.30591982;;;20.40687297;;;;;;;;;;
Trombetas1;36.72377497;;;;;62.4467732;;0.604468944;0.225268972;;;;;;;;;
Uatuma1;31.39115159;;;;;67.26137299;;1.347658423;;;;;;;;;;
Uaupes;35.17423984;;;4.191010012;;26.22130106;;;2.325133831;;;;;;32.08824549;;;
Ucayali1;29.72024119;;;;25.30032052;;;42.66238503;2.316669725;;;;;;;;;
Ucayali2;;;;;41.70896288;;;18.84741024;21.61153255;;;;;;;17.83163489;;
Unini;0.165763583;;;;;;;0.333434963;;;;;;99.50086855;;;;
Urubamba;;;;;27.20521904;;;3.642013267;7.04499683;;;;;;;62.10733273;;
Xingu1;9.55676914;;;;;76.56575208;;10.81670239;;;;3.061105117;;;;;;
Xingu3;66.48996564;;;;;6.834738078;;;13.75632736;12.91923445;;;;;;;;
Xingu4;22.85161007;;;;;42.01575816;;4.547569022;25.77091967;4.331043638;;;;0.483262195;;;;
Xingu6;1.75542838;;;3.371580949;3.328076958;73.99297834;;17.18727618;0.36471555;;;;;;;;;
Yacuma;;;;;27.3290252;;1.318011144;63.50483365;3.816601375;;4.031203325;;;;;;;
