basin;Acrisol;Albeluvisol;Alisol;Andosol;Arenosol;Calcisol;Cambisol;Chernozem;Ferralsol;Fluvisol;Gleysol;Histosol;Kastanozem;Leptosol;Lixisol;Luvisol;Nitisol;Phaeozem;Planosol;Plinthosol;Podzol;Regosol;Solonchak;Solonetz;Stagnosol;Umbrisol;Vertisol
Itonamas;7.090052005;;;;0.014504789;;9.094293312;;33.72812991;0.014597096;15.34044533;0.029444444;0.313622262;16.00197662;0.001971466;5.618988755;0.046162924;0.065001586;0.020456859;0.166984686;;9.483657074;2.659425228;;;;0.011026987
Jamanxim;59.81690599;;;;0.136756596;;0.00862606;;5.734309897;;;;;;;;34.17157561;;;0.004336337;;;;;;0.123642141;
Japura1;64.70402656;;;0.07513195;;;0.027322396;;0.230692466;0.776725069;28.96140504;;;;;;;;0.04095584;0.116685129;3.791025716;;;;;;
Jari;61.83925126;;0.024960528;0.051374583;;;;;35.80762086;0.035239176;1.8133137;;0.013825056;;;;0.188175863;;;0.051390788;0.052377554;;;;;;
Jatapu;43.81874147;;0.09744473;26.75884557;0.002476118;;;;26.81352432;;;;0.066895019;0.017069761;;;2.305361538;;;0.027249533;0.003766262;;;;;;
Javary1;92.13978319;;;0.003122193;0.001560515;;0.001185494;;0.163389277;0.564342243;7.074083686;;;;;0.001590037;0.000780467;;0.00234164;0.015592445;;;;;;;
Jiparana;61.15485172;;;;12.36057298;;0.014589815;;21.01031179;0.035905588;1.882834618;;;0.050562176;0.001116036;0.299432296;2.95829594;;0.129841028;0.09024192;;0.00608688;;;;;0.003349894
Jurua1;87.96801179;;;0.001356098;0.004043268;;0.000447173;;0.445470694;0.955391881;7.993376976;;0.317991779;;;1.952671671;0.161444173;;;0.182626184;0.001355818;0.014282542;;;;;
Juruena1;9.751850479;;;0.167868556;8.770197818;;0.058884632;;68.48956286;;;;;0.015785976;;;12.66688723;;;0.019760831;;0.023073555;;;;0.007313855;0.001257283
Jutai;88.53942035;;;;0.001092458;;;;0.308987792;1.145142155;9.509059655;;;;;;0.001092028;;;0.426729505;0.047833621;;;;;;
Luna;38.13720051;;;;0.009316845;;0.001861383;;11.34656892;0.371719558;45.35595283;0.024166875;;0.001863113;;;0.074435714;;0.544872563;3.494668164;0.003724357;;;;;;
Madera1;8.284423005;;;0.009166288;0.3027024;;0.009166509;;41.35937526;8.029399441;36.00379457;0.433063351;;;;;0.045869821;;0.072871605;0.355785808;0.146828394;0.009181448;;;;;
Madera2;44.80940391;;;0.286057704;0.047694134;;0.038237333;;36.46243872;1.783726241;9.734192352;;;;;0.008197793;4.305465242;;0.095652193;1.830131051;;;;;;;
Madera3;51.91472559;;;0.017789501;0.13130581;;0.004448843;;7.116206235;2.326387953;25.85629142;;;;;0.017766038;0.201198623;;0.395245698;10.94221969;;;;;;;
Madera4;47.81433688;;;1.804529334;0.024028254;;0.110895072;;31.99476124;0.490675009;9.943328145;;0.143720764;;;0.044994957;4.777109795;;0.418541837;1.709275395;;0.079106614;;;;;
Madera6;54.11379499;;;;;;0.176506719;;42.21832361;;;;0.000498636;0.031986165;;;3.102968607;;;0.015950422;;0.015974061;;;;;
Madre_Dios;50.99665402;;;;0.069400084;;1.493072386;0.001937343;24.47111082;0.121913833;10.06166591;0.28166677;1.280619789;0.755277807;;0.308557211;1.071911701;0.011623797;0.023476315;0.100104383;0.003252128;8.770769525;;;;0.094596017;
Mamore1;29.21494898;;;0.009153587;4.397146128;;0.011018301;;37.74108678;0.634144479;21.58263832;0.035342168;0.212943667;0.031248987;;0.039045276;3.113904514;;0.011001243;0.101565529;1.394446877;1.10287669;;;;;
Mamore2;8.165198901;;;;0.001308842;;0.850243949;;20.63589499;0.089697862;66.7881733;0.007459641;;0.001306091;;0.002609481;0.862898346;;0.003978725;0.293866031;;;;;;0.006146682;
Mantaro;0.526493925;;;2.482385436;0.015988159;;11.55742125;0.004843539;0.998946808;0.007276073;;0.067806402;14.43862726;39.22764047;;0.480821855;0.327933082;0.061657848;7.051622065;;0.002419965;21.91140273;;;;0.055382029;
Maranon1;5.292828399;;;;0.013859468;;;;14.02915447;0.05990479;80.29178325;;;;;;;;;0.004436047;0.067293659;;;;;;
Maranon3;32.55198025;;;0.325275508;0.000697665;;3.372033965;;22.211958;0.00237085;33.74550336;;;0.391470658;;;;;;;0.061686878;;;;;7.267876968;
Maranon5;7.53103979;;;2.812167015;0.018869309;0.017791224;22.0117091;0.006848783;5.190973057;0.015677064;0.005250753;0.163549187;5.258285126;21.52929477;0.007288753;3.853838814;0.191769736;0.079638905;0.096810358;;0.009445266;18.54168587;;;;12.37875109;0.049269471
Marmelos;29.46805987;;;0.077172547;11.09057828;;;;43.25504998;0.077490097;3.925137713;0.003090176;;;;;10.79617938;;0.006088561;1.300381017;;;;;;;
Maues;24.68439217;;;0.190742993;0.194400412;;0.019437828;;62.26229145;0.022680251;0.003240264;0.003240205;;0.064760971;;;11.69879317;;;0.198433792;;;;;;;
Napo1;55.80562616;;30.52557617;;0.00378276;;0.054644077;;0.688308306;0.181480352;12.42880694;;;;;;;;;0.01891126;;;;;;;
Napo2;40.5541784;;5.844078336;16.08869403;0.029005104;;2.880152833;0.029015828;10.22965143;0.240177333;19.47668879;;0.078985712;0.223461307;;0.073029377;0.001611878;;;0.035463956;0.011280622;0.062774801;;;;3.951036537;
Negro1;51.34910678;;0.534101504;1.363728216;0.154402287;;;;27.69029331;0.56843901;8.313820807;0.000935367;0.005611891;;;;0.230464345;;0.022430665;0.229023323;8.071859801;;;;;;
Negro2;47.77936256;;0.038767281;;0.093794911;;;;16.05960605;2.185506552;25.51142008;;;;;;0.002329005;;0.051233788;0.044245061;6.112515965;;;;;;
Negro3;31.09859917;;0.216432808;0.133270268;0.012899233;;0.031497104;;23.27833966;0.441122599;6.678184133;0.000629935;;;;;0.85511976;;0.00062986;0.023232261;36.46206513;;;;;0.017496265;
Negro5;22.88608283;;35.80068745;0.582587212;0.041099605;;0.024256023;;15.62244177;;3.951849848;;;;;;0.033353743;;;0.015956964;20.9184222;;;;;0.006888685;
Nhamunda;13.1941379;;;9.386770769;0.332883411;;;;65.28186094;1.337948876;3.585676511;;0.056764048;;;;3.24807274;;;0.941184117;;;;;;;
