BvNiv2;WaterColor;Area_km;Chut_hydrofall;Chut_grand;NetworkDensity;Elevation_min;Elevation_max;Elevation_range;Elevation_mean;Elevation_std;Elevation_%basinSup1000m;NbEspeceSites;NbEspeceEnveloppe;NbSitesTotal;Endemism;DistanceEmbouchure_km;23ma_cd;23Ma;10Ma_cd;10Ma
Jari;Clear;58205.86633;12;0;0.153614233;-2;681;683;259.3439166;104.3747333;0.000249611;68;145;34;3;153.5975367;H;AffluentsNord;K2;AffluentsNord
Jatapu;Clear;34492.78198;2;0;0.099730759;4;957;953;156.2931778;86.83443536;0.006005464;132;840;20;0;1264.887582;H;AffluentsNord;K2;AffluentsNord
Javary1;White;109202.3395;0;0;0.139855858;61;568;507;151.636511;35.80347044;0;191;872;25;0;3301.211917;G;PebasSystem;B2;AcreSystem
Jiparana;White;74737.98291;11;0;0.164959324;43;625;582;214.1879567;95.23177118;0;542;906;196;2;2403.687674;B;GroupAtlantik;G2;GroupAtlantik
Jurua1;White;188893.8248;0;0;0.16128947;37;664;627;204.9731768;81.21729351;0;408;1099;160;2;2506.584655;F;PebasSudEst3;B2;AcreSystem
Juruena1;Clear;132140.012;20;0;0.147655723;97;806;709;372.1290316;147.1829822;0;139;709;63;12;1552.973572;B;GroupAtlantik;F2;GroupeAtlantik3
Jutai;Black;78108.59227;0;0;0.176607407;42;237;195;122.8843499;34.81687484;0;171;976;46;0;2687.561959;F;PebasSudEst3;B2;AcreSystem
Luna;White;45791.91404;0;0;0.148084113;5;74;69;44.55003722;13.92792632;0.0010024;337;1007;38;0;1426.978522;B;GroupAtlantik;G2;GroupAtlantik
Madera1;White;9292.491115;0;0;0.136599676;4;57;53;33.76556474;12.95050437;0.001193677;384;953;134;0;1426.978522;B;GroupAtlantik;G2;GroupAtlantik
Madera2;White;31132.74421;1;0;0.176682997;14;248;234;70.13330969;21.88915228;2.73E-05;349;946;70;0;1766.167501;B;GroupAtlantik;G2;GroupAtlantik
Madera3;White;19104.21496;0;0;0.147944341;26;101;75;62.56510532;13.84692288;0;370;915;51;2;2025.092286;B;GroupAtlantik;G2;GroupAtlantik
Madera4;White;28152.33366;8;0;0.157699267;43;829;786;142.2833084;61.77116935;0;589;923;291;0;2403.687674;F;PebasSudEst3;G2;GroupAtlantik
Madera6;White;5261.38365;7;0;0.137632617;91;350;259;151.4186641;26.62999766;0;265;746;28;0;2884.422736;A;PebasSudEst;A2;AcreSud
Madre_Dios;White;128842.8549;0;0;0.175102904;104;5875;5771;841.601012;1162.160263;21.14005346;496;828;332;13;2988.418281;A;PebasSudEst;A2;AcreSud
Mamore1;Clear;45674.35415;2;0;0.138891371;109;1081;972;176.8091264;70.81692416;0;460;772;141;2;2988.418281;A;PebasSudEst;A2;AcreSud
Mamore2;White;63019.02636;0;0;0.094932715;128;592;464;168.4944854;32.9382699;0;381;630;157;3;3239.432438;A;PebasSudEst;A2;AcreSud
Mantaro;White;34534.99091;0;2;0.134474356;467;5490;5023;3882.302206;789.4466958;99.18606487;8;18;15;1;5792.886108;D;PebasSud;E2;AcreOuest
Maranon1;White;38396.10389;0;0;0.114596913;87;254;167;135.5835481;23.05388667;0;230;619;47;3;3995.873957;G;PebasSystem;J2;AtlantikNord4
Maranon3;White;35923.1031;0;0;0.153961523;110;2111;2001;371.2557073;351.7198537;0;96;383;20;2;4352.070946;G;PebasSystem;B2;AcreSystem
Maranon5;White;81150.10154;5;0;0.182475191;165;6247;6082;2345.680468;1218.631294;0;185;197;101;5;4664.067901;K;PebasOuest;M2;AcreNordOuest
Marmelos;White;27455.25245;1;0;0.186072082;29;196;167;84.28327624;16.67913814;0;158;899;39;0;2025.092286;B;GroupAtlantik;G2;GroupAtlantik
Maues;Black;26328.62134;1;0;0.226510988;5;301;296;111.3404496;48.54480558;3.24E-05;170;841;47;1;1272.960079;B;GroupAtlantik;F2;GroupeAtlantik3
Napo1;White;22577.87847;0;0;0.114715953;78;232;154;146.1610169;26.12593528;0;187;690;18;1;3785.014556;G;PebasSystem;J2;AtlantikNord4
Napo2;White;53025.31411;1;0;0.132895748;122;5665;5543;863.5110219;1097.916846;0;439;579;337;15;4117.1398;G;PebasSystem;J2;AtlantikNord4
Negro1;Black;91383.36763;3;0;0.144761686;7;392;385;69.014659;34.76263173;0;720;1079;326;5;1591.603509;B;GroupAtlantik;H2;AtlantikNord1
Negro2;Black;36699.80518;0;0;0.153539401;12;76;64;48.42793957;13.82655067;0;313;879;109;2;1919.153465;E;PebasNordEst;H2;AtlantikNord1
Negro3;Black;135693.2674;4;0;0.123660152;21;2498;2477;111.3882295;149.7170873;0;449;903;157;15;2196.111868;L;PebasNordEst2;N2;AtlantikNord2
Negro5;Black;126849.8958;17;0;0.130265841;69;2408;2339;190.9604753;179.4908152;0;370;605;157;5;2805.821472;L;PebasNordEst2;N2;AtlantikNord2
Nhamunda;Clear;28608.56844;0;0;0.170028621;1;375;374;106.3634353;68.3420675;0.00891205;203;813;66;0;859.3573909;H;AffluentsNord;K2;AffluentsNord
Orthon;White;33575.78668;0;0;0.177107281;123;517;394;279.269802;76.14625321;0;353;730;104;2;3116.085958;A;PebasSudEst;A2;AcreSud
Pachitea;White;28907.34515;1;0;0.143092798;150;4712;4562;1039.519236;989.0637482;39.4924029;153;258;80;3;5041.484948;G;PebasSystem;E2;AcreOuest
Paru_Este;Clear;39288.13819;2;0;0.143258357;-2;809;811;313.6490095;122.6408673;0.055213004;2;244;1;0;228.9037942;H;AffluentsNord;K2;AffluentsNord
Pastaza;White;42270.26728;0;0;0.171483989;125;6074;5949;1090.959751;1348.39861;28.92726633;249;385;113;6;4462.536976;G;PebasSystem;B2;AcreSystem
Purus1;White;61568.50136;0;0;0.157560388;7;96;89;60.16737794;19.15656188;0;511;1023;109;2;1839.863616;F;PebasSudEst3;O2;GroupAtlantik5
Purus2;White;26027.23504;0;0;0.160366762;38;142;104;82.28559802;13.668436;0;95;907;20;0;2712.321399;F;PebasSudEst3;O2;GroupAtlantik5
Purus3;White;226665.8614;0;0;0.160906693;52;542;490;194.3378983;77.03124505;0;263;981;86;2;3074.207316;M;PebasSudEst2;O2;GroupAtlantik5
Putumayo;White;120578.8097;1;0;0.116929749;47;3946;3899;236.5404575;417.3083886;3.170051433;517;973;108;2;2907.733319;G;PebasSystem;D2;AtlantikNord3
Roosevelt;White;59329.29866;9;0;0.184456387;44;618;574;229.7896028;107.3158019;0;150;809;40;0;2110.402567;B;GroupAtlantik;G2;GroupAtlantik
Santiago;White;32951.12093;0;0;0.146519155;165;5029;4864;1662.86296;1058.413094;67.74832246;153;213;68;2;4664.067901;N;PebasOuest2;M2;AcreNordOuest
Solimoes1;White;22035.16524;0;0;0.105435655;7;83;76;38.86167493;16.5489094;0;498;1038;150;3;1591.603509;B;GroupAtlantik;B2;AcreSystem
Solimoes2;White;32870.00108;0;0;0.117207161;10;77;67;49.9402377;14.43183113;0;213;1019;52;0;1839.863616;B;GroupAtlantik;B2;AcreSystem
Solimoes3;White;17458.45134;0;0;0.132662685;18;92;74;56.7111991;16.58674158;0;268;979;68;0;2054.789938;E;PebasNordEst;N2;AtlantikNord2
Solimoes4;White;24635.14222;0;0;0.116116935;24;131;107;71.13135094;21.34170968;0;313;972;139;2;2264.121827;E;PebasNordEst;N2;AtlantikNord2
Solimoes7;White;29146.7061;0;0;0.115329531;47;225;178;116.6605341;36.76751622;0;191;945;39;0;2907.733319;G;PebasSystem;B2;AcreSystem
Solimoes8;White;32794.43207;0;0;0.082572367;61;172;111;113.6519307;20.84775964;0;703;974;122;17;3301.211917;G;PebasSystem;J2;AtlantikNord4
Solimoes9;White;27709.04536;0;0;0.142405167;79;239;160;140.2582502;28.68826981;0;595;810;164;17;3785.014556;G;PebasSystem;J2;AtlantikNord4
Tapajos1;Clear;42527.3817;9;0;0.125715855;1;446;445;109.8742002;74.96306717;0.00265036;492;844;210;8;576.8755036;B;GroupAtlantik;C2;GroupAtlantik4
Tapajos2;Clear;59068.76507;1;0;0.168691039;28;567;539;195.0236137;83.64300396;0;309;771;104;3;1084.561848;B;GroupAtlantik;F2;GroupeAtlantik3
Tapaua;White;62892.51269;0;0;0.202107077;38;188;150;107.5489075;24.04971877;0;78;892;18;0;2712.321399;F;PebasSudEst3;O2;GroupAtlantik5
Tefe;Black;24268.55219;0;0;0.188734914;24;134;110;86.95020543;17.76508912;0;433;966;80;3;2291.111319;F;PebasSudEst3;B2;AcreSystem
Teles_Pires;Clear;141419.1395;6;0;0.154668977;97;836;739;339.725474;99.85277193;0;186;636;111;8;1552.973572;B;GroupAtlantik;F2;GroupeAtlantik3
Tigre;White;42905.0432;0;0;0.153313778;95;624;529;201.6664346;60.65042387;0;141;566;59;0;4086.133335;G;PebasSystem;J2;AtlantikNord4
Trombetas1;Clear;127649.6668;25;0;0.147022968;1;894;893;244.1658499;115.0076472;0;509;781;113;9;813.7356776;H;AffluentsNord;K2;AffluentsNord
Uatuma1;Clear;33426.02428;1;1;0.154867971;3;324;321;96.3197771;52.1499122;0;354;922;61;2;1153.283725;B;GroupAtlantik;B2;AcreSystem
Uaupes;Black;64084.68841;10;0;0.149347066;68;667;599;182.4512964;56.7116532;0;215;575;72;9;2805.821472;C;PebasNord;N2;AtlantikNord2
Ucayali1;White;110606.2302;0;0;0.132863485;87;2255;2168;247.7565871;231.7880922;0;484;712;226;13;3995.873957;G;PebasSystem;E2;AcreOuest
Ucayali2;White;54232.07629;3;0;0.158553941;148;5108;4960;1393.199356;1300.77114;0;97;297;64;6;5041.484948;G;PebasSystem;E2;AcreOuest
Unini;Black;27309.43081;0;0;0.14402931;12;77;65;57.33170594;10.4826044;0;28;911;18;0;1944.280899;E;PebasNordEst;H2;AtlantikNord1
Urubamba;White;59359.12086;0;0;0.156402822;210;6228;6018;1868.57006;1583.997845;54.43342176;138;289;129;3;5448.281455;D;PebasSud;E2;AcreOuest
Xingu1;Clear;41438.74363;0;0;0.165238848;-2;361;363;109.0908417;67.63557846;0.025872042;521;588;348;12;134.7960228;B;GroupAtlantik;C2;GroupAtlantik4
Xingu3;Clear;48112.05421;6;0;0.114759837;55;682;627;238.0378146;60.02353683;0;127;374;38;0;690.100019;B;GroupAtlantik;C2;GroupAtlantik4
Xingu4;Clear;78901.77829;5;0;0.128876699;86;673;587;316.0813469;57.91384531;0;60;215;24;0;1115.108707;I;GroupAtlantik2;L2;GroupAtlantik2
Xingu6;Clear;131538.9516;1;0;0.177843097;270;838;568;370.9341639;68.16926401;0;135;162;76;7;1838.576273;I;GroupAtlantik2;L2;GroupAtlantik2
Yacuma;White;21385.46202;0;0;0.059571245;140;1759;1619;237.7339528;181.3232022;1.73612777;226;474;34;0;3614.475011;A;PebasSudEst;A2;AcreSud
