Code_Bv_Standardized;Sub-drainage;Water Color;DistanceMouth_km;ShannonDiv;SoilDiv;PebasLake;Main tributaries position;NorthSouthMain;Number of waterfalls;NetworkDensity;Area_km;Sea level 25m;Sea level 100m;CSup15;Elevation_min;Elevation_max;Elevation_range;Elevation_mean;Elevation_std;Elevation_basinSup1000m;Number of sampled sites;Species richness SDMs;Species richness (raw data);Endemic species richness;Characidae (SR);Loricariidae (SR);Cichlidae (SR);Callichthyidae (SR);Anostomidae (SR);Rivulidae (SR);Doradidae (SR);Heptapteridae (SR);Auchenipteridae (SR);Trichomycteridae (SR);Serrasalmidae (SR);Curimatidae (SR);Apteronotidae (SR);Pimelodidae (SR);Lebiasinidae (SR);CurrClimate_tempMin;CurrClimate_tempMax;CurrClimate_tempMean;CurrClimate_tempCV;CurrClimate_precMin;CurrClimate_precMax;CurrClimate_precAnn;CurrClimate_precCV;CurrClimate_aetMin;CurrClimate_aetMax;CurrClimate_aetAnn;CurrClimate_aetCV;CurrClimate_petMin;CurrClimate_petMax;CurrClimate_petAnn;CurrClimate_petCV;CurrClimate_ro_mean;CurrClimate_npp_mn;CurrClimate_npp_sd;CurrClimate_npp_cv;CurrClimate_SolRad_mn;CurrClimate_SolRad_cv;PastClimate_tempMin;PastClimate_tempMax;PastClimate_tempMean;PastClimate_precMin;PastClimate_precMax;PastClimate_precAnn
Amazon10;Solimoes7;White;2907.733319;0.295670334;0.667724481;1;21;Main;0;0.115329531;29146.7061;0;36.4;0;47;225;178;116.6605341;36.76751622;0;122;945;298;0;63;17;29;8;7;1;23;6;8;2;7;12;14;25;9;19.93393651;31.13907273;25.60682297;0.342974304;122.5614476;297.0726146;2653.526339;27.63137278;116.806098;146.9121551;1622.172796;0.078893734;117.2438903;154.2975912;1665.689926;0.079093764;1789.623362;2737.005637;102.0656997;3.72910082;14.74761355;0.079945653;15.84480994;28.10331384;22.08174951;146.4251949;359.5141326;2678.023392
Amazon11;Solimoes8;White;3301.211917;0.346597367;0.573579334;1;22;Main;0;0.082572367;32794.43207;0;28.3;0;61;172;111;113.6519307;20.84775964;0;248;974;664;9;121;61;61;34;24;7;37;14;27;13;24;37;13;33;17;20.29269289;31.3586572;25.9444904;0.422267806;157.9730503;314.6961917;2823.639821;21.12020707;116.076817;151.8786744;1659.935903;0.079410075;116.076817;151.9414182;1662.691691;0.0794574;974.965161;2747.038191;120.1870608;4.375150705;14.75661679;0.027710356;16.36413248;28.39218155;22.41145592;164.77081;402.0787168;2917.698932
Amazon12;Solimoes9;White;3785.014556;0.221670397;0.558497422;1;24;Main;0;0.142405167;27709.04536;0;8.7;0;79;239;160;140.2582502;28.68826981;0;284;810;619;13;102;60;51;25;24;6;36;7;25;16;17;33;18;39;12;20.3912204;31.84326055;26.15303175;0.431187664;175.3173406;285.7226927;2806.790965;15.28512918;118.6194993;156.9060142;1693.031164;0.086777198;118.6194993;157.7783389;1697.944107;0.087901335;865.133255;2451.571665;187.2839915;7.639343943;14.75551649;0.038212451;16.1073528;28.95176417;22.63802012;150.900914;395.0720079;2838.134886
Andira;Andira1;White;1014.426236;0.500608177;0.390815528;0;10;South;0;0.220601491;32493.34218;18;88.1;0.082714921;3;179;176;52.89320618;32.37674225;0;81;879;250;0;28;12;37;2;8;2;5;3;10;4;22;18;2;8;11;21.98063304;33.03300236;27.059057;0.475349908;77.47656948;323.9262411;2269.022432;47.29960599;91.01203047;135.6442343;1413.778881;0.112890758;122.1320725;158.7651432;1649.869766;0.087713834;1397.394562;2519.659391;157.7598421;6.26115747;14.75751166;0.032976958;17.1965285;29.0357131;23.29102403;105.9800461;399.2098933;2655.831255
Apaporis;Apaporis;White;3068.494022;0.276868588;0.944834555;1;16;North;3;0.13672836;56489.43208;0;2.3;0.653853659;66;786;720;207.7913174;69.97556621;0;21;616;159;1;27;2;21;2;10;3;4;2;3;0;16;7;0;9;2;20.64006023;31.88914396;26.05911808;0.618552139;122.5994583;331.0225323;2828.606313;28.93376511;113.1798345;139.6999834;1554.880756;0.065239375;113.1798345;153.5865805;1629.259235;0.081523912;2039.74599;2958.381701;173.5552999;5.866562107;14.76878717;0.032431028;16.95471514;29.16500875;22.54640427;77.07949158;434.8902326;2688.852064
Apurimac;Apurimac1;White;5792.886108;1.456270062;0.891050143;1;24;South;0;0.132779408;64662.31416;0;0;90.26272892;470;5956;5486;3810.496354;847.8068278;98.56046408;23;20;21;1;15;2;0;0;0;0;0;0;0;1;0;1;0;0;0;-4.000381297;18.40356648;8.227493196;1.291229176;6.992528116;171.8916063;837.3157449;85.97922765;39.04936322;93.8537077;696.2519386;0.325653117;80.47214091;129.2655472;1268.645432;0.153694916;141.3126067;1336.485329;870.0166662;65.09736;14.4171474;0.233440395;-7.367863241;13.96668222;4.208424334;13.06573593;151.86602;798.836613
Arinos;Arinos;Clear;2048.66828;1.074208063;0.172883448;0;7;South;2;0.201995366;58891.58498;0;0;0;202;645;443;360.8403681;72.6935299;0;126;414;133;1;41;7;8;2;8;2;0;1;3;2;4;9;0;3;4;14.99320728;33.88227852;25.07438087;0.848916329;3.803409832;335.2118663;1965.160804;74.81519673;50.83068565;165.4249809;1333.985447;0.394942613;132.6278262;181.4534198;1893.904613;0.096855959;750.7875587;1203.467393;159.5230084;13.25528297;14.49354715;0.381184094;10.93500173;29.20135151;20.8715614;3.796502243;331.7767814;2137.481973
Aripuana;Aripuana;White;1766.167501;0.276904364;0.426148075;0;12;South;1;0.160953772;87228.58192;0;15.3;0.795434211;14;528;514;181.8997522;94.41028278;0;251;950;556;5;100;41;52;12;30;3;27;12;17;13;28;24;14;27;9;16.49944915;33.48404957;25.2245917;0.474544325;15.44975071;345.5324265;2163.000223;65.69802991;65.77043419;151.0725301;1342.77875;0.277070253;129.1332398;168.0455201;1777.378576;0.094543775;1721.151893;2265.093567;479.7084541;21.17830632;14.63066434;0.341110115;12.30855023;29.15385377;21.36511187;17.53123631;351.5070687;2423.896423
Bacaja;Bacaja;Clear;512.5525417;0.200205769;0.064093454;0;3;South;0;0.083326808;25641.85187;0;0;1.508028672;79;649;570;202.7934241;49.04638919;0;57;184;152;0;38;14;11;4;7;1;3;3;7;1;7;7;0;0;3;18.79833317;31.62881761;25.11940432;0.3653761;23.92416243;321.0319421;1914.020454;67.65541057;64.25251519;142.7316134;1243.48886;0.283629793;129.3598632;160.6531195;1719.316997;0.070944981;913.9261478;2787.738868;98.37086013;3.528697083;14.73681818;0.066668962;14.3125533;27.59345263;20.96077092;26.16316215;333.7092757;2141.920401
Beni;Beni;White;3151.352508;1.170235678;1.541651373;1;12;South;0;0.13937369;118947.7348;0;0;58.90430461;120;6130;6010;1374.761552;1397.509106;46.68693026;302;655;334;4;69;31;33;4;11;3;8;15;11;10;16;22;6;21;6;11.53051485;28.42842622;20.61101579;1.236928296;33.05811591;247.0455298;1469.775329;62.17269185;65.00087664;131.9108537;1132.292639;0.268403476;98.49969387;156.4991721;1573.737654;0.151459141;570.1660664;2640.075525;1285.980752;48.70999864;14.37704055;0.642476358;8.171877697;23.90597066;16.71249783;53.44803279;237.8215639;1652.257341
Blanco_Baures;Blanco_Baures;Clear;3393.175703;0.717803634;0.860094475;1;12;South;1;0.134847771;76638.53601;0;0;0.074416795;131;830;699;248.0109608;101.4347508;0;121;596;350;2;64;31;36;12;15;1;17;4;14;6;22;21;4;15;7;14.98086041;33.11912124;24.77122315;1.370505225;18.18463781;219.4748138;1314.110493;64.6626255;53.89514196;141.9122638;1098.93419;0.356617878;113.8632732;181.6327756;1816.957897;0.155226226;283.0967502;1276.778717;190.3186767;14.90615987;14.37661555;0.357995539;10.8926153;27.47473035;20.25871785;30.61337257;214.1931782;1459.330839
Branco;Branco;Clear;2014.774956;1.126851046;1.570934165;1;13;North;26;0.181008912;189943.9172;0;31.8;21.63323021;13;2301;2288;276.8681298;277.440277;2.979557801;336;835;646;16;110;45;70;8;25;8;31;14;21;12;32;28;19;27;14;20.29729558;31.90805751;25.97004872;0.458906004;56.94286433;313.1160692;1809.940747;60.95604707;68.82198141;144.3956034;1268.566997;0.243388568;127.503326;155.8855579;1716.15648;0.058786285;882.6832963;2493.103528;805.4678132;32.30783657;14.74627708;0.113381363;15.78507083;28.97008061;22.21444085;24.35886447;347.921808;1733.957604
