MatriceDistance_km;Abuna;Amazon1;Amazon2;Amazon5;Amazon8;Amazon9;Andira1;Apaporis;Apurimac1;Arinos;Aripuana;Bacaja;Beni;Blanco_Baures;Branco;Candeias;Canuma;Caqueta1;Chapare;Coari;Curaray;Curua;Curua_Una;Demini;Fresco;Grande;Guapore;Huallaga;Iriri;Isiboro;Itonamas;Jamanxim;Japura1;Jari;Jatapu;Javary1;Jiparana;Jurua1;Juruena1;Jutai;Luna;Madera1;Madera2;Madera3;Madera4;Madera6;Madre_Dios;Mamore1;Mamore2;Mantaro;Maranon1;Maranon3;Maranon5;Marmelos;Maues;Napo1;Napo2;Negro1;Negro2;Negro3;Negro5;Nhamunda;Orthon;Pachitea;Paru_Este;Pastaza;Purus1;Purus2;Purus3;Putumayo;Roosevelt;Santiago;Solimoes1;Solimoes2;Solimoes3;Solimoes4;Solimoes7;Solimoes8;Solimoes9;Tapajos1;Tapajos2;Tapaua;Tefe;Teles_Pires;Tigre;Trombetas1;Uatuma1;Uaupes;Ucayali1;Ucayali2;Unini;Urubamba;Xingu1;Xingu3;Xingu4;Xingu6;Yacuma
Aripuana;1118255.235;1766167.501;1612569.964;1038437.094;612883.7762;339188.9789;751741.2648;2023820.502;4748212.588;2572790.668;0;2009127.997;1385185.007;1627008.202;970101.4354;746889.955;1235556.973;2023820.502;2275857.966;1010116.417;3072466.279;1308393.232;1261064.257;1151438.347;2611684.162;2153270.438;1473264.937;3307397.425;2186675.474;2153270.438;1612531.79;1608684.236;1219448.307;1612569.964;724487.6333;2256538.396;637520.1726;1461911.134;2077095.96;1642888.439;339188.9789;339188.9789;0;258924.7846;637520.1726;1118255.235;1222250.78;1222250.78;1473264.937;4748212.588;2951200.437;3307397.425;3619394.38;258924.7846;1010275.107;2740341.035;3072466.279;546929.9889;874479.9448;1151438.347;1761147.952;998053.5366;1349918.457;3996811.427;1537263.707;3417863.456;795190.0954;1667647.879;2029533.796;1863059.799;344235.0661;3619394.38;546929.9889;795190.0954;1010116.417;1219448.307;1863059.799;2256538.396;2740341.035;1189291.997;1608684.236;1667647.879;1246437.799;2077095.96;3041459.815;952431.8233;612883.7762;1761147.952;2951200.437;3996811.427;899607.3783;4403607.935;1631371.478;2186675.474;2611684.162;3335151.728;1848307.51
Bacaja;3127383.232;512552.5417;396558.0329;970690.9031;1396244.221;1669939.018;1257386.732;3311454.518;6035846.604;2291628.776;2009127.997;0;3394313.004;3636136.199;2257735.452;2756017.952;1741202.44;3311454.518;4284985.963;2297750.434;4360100.296;938937.2349;748063.7404;2439072.364;602556.1651;4162398.435;3482392.934;4595031.442;177547.4773;4162398.435;3621659.787;1327522.344;2507082.323;396558.0329;1507848.078;3544172.413;2646648.17;2749545.151;1795934.068;2930522.455;1669939.018;1669939.018;2009127.997;2268052.782;2646648.17;3127383.232;3231378.777;3231378.777;3482392.934;6035846.604;4238834.454;4595031.442;4907028.397;2268052.782;1515920.575;4027975.052;4360100.296;1834564.005;2162113.961;2439072.364;3048781.968;1102317.887;3359046.454;5284445.444;471864.2904;4705497.472;2082824.112;2955281.895;3317167.812;3150693.815;2353363.063;4907028.397;1834564.005;2082824.112;2297750.434;2507082.323;3150693.815;3544172.413;4027975.052;819835.9998;1327522.344;2955281.895;2534071.815;1795934.068;4329093.832;1056696.174;1396244.221;3048781.968;4238834.454;5284445.444;2187241.395;5691241.952;377756.5189;177547.4773;602556.1651;1326023.731;3857435.508
Beni;266929.7723;3151352.508;2997754.971;2423622.101;1998068.783;1724373.986;2136926.272;3409005.509;6133397.595;3957975.675;1385185.007;3394313.004;0;567691.6494;2355286.442;638295.0521;2620741.98;3409005.509;1216541.413;2395301.424;4457651.286;2693578.24;2646249.264;2536623.354;3996869.169;1093953.886;413948.3848;4692582.432;3571860.481;1093953.886;553215.2379;2993869.243;2604633.314;2997754.971;2109672.64;3641723.403;747664.8344;2847096.141;3462280.967;3028073.446;1724373.986;1724373.986;1385185.007;1126260.222;747664.8344;266929.7723;162934.2273;162934.2273;413948.3848;6133397.595;4336385.444;4692582.432;5004579.387;1126260.222;2395460.114;4125526.042;4457651.286;1932114.996;2259664.952;2536623.354;3146332.959;2383238.544;35266.54967;5381996.434;2922448.714;4803048.463;2180375.102;3052832.886;3414718.803;3248244.806;1729420.073;5004579.387;1932114.996;2180375.102;2395301.424;2604633.314;3248244.806;3641723.403;4125526.042;2574477.004;2993869.243;3052832.886;2631622.806;3462280.967;4426644.822;2337616.83;1998068.783;3146332.959;4336385.444;5381996.434;2284792.385;5788792.942;3016556.485;3571860.481;3996869.169;4720336.735;788990.958
Blanco_Baures;508752.967;3393175.703;3239578.166;2665445.296;2239891.978;1966197.181;2378749.467;3650828.703;6375220.79;4199798.87;1627008.202;3636136.199;567691.6494;0;2597109.637;880118.2468;2862565.175;3650828.703;956336.293;2637124.619;4699474.481;2935401.434;2888072.458;2778446.549;4238692.364;833748.7655;153743.2646;4934405.627;3813683.676;833748.7655;14476.4115;3235692.438;2846456.508;3239578.166;2351495.835;3883546.598;989488.0292;3088919.336;3704104.162;3269896.64;1966197.181;1966197.181;1627008.202;1368083.417;989488.0292;508752.967;404757.4221;404757.4221;153743.2646;6375220.79;4578208.639;4934405.627;5246402.582;1368083.417;2637283.309;4367349.237;4699474.481;2173938.191;2501488.147;2778446.549;3388156.153;2625061.738;532425.0997;5623819.629;3164271.909;5044871.658;2422198.297;3294656.08;3656541.998;3490068;1971243.268;5246402.582;2173938.191;2422198.297;2637124.619;2846456.508;3490068;3883546.598;4367349.237;2816300.199;3235692.438;3294656.08;2873446.001;3704104.162;4668468.017;2579440.025;2239891.978;3388156.153;4578208.639;5623819.629;2526615.58;6030616.137;3258379.68;3813683.676;4238692.364;4962159.93;528785.8378
Branco;2088356.67;2014774.956;1861177.419;1287044.549;861491.231;630912.4565;1000348.72;1900061.959;4624454.046;2821398.123;970101.4354;2257735.452;2355286.442;2597109.637;0;1716991.39;1484164.428;1900061.959;3245959.401;886357.8748;2948707.737;1557000.687;1509671.711;181336.912;2860291.617;3123371.874;2443366.373;3183638.883;2435282.929;3123371.874;2582633.226;1857291.691;1095689.764;1861177.419;973095.0881;2132779.854;1607621.608;1338152.592;2325703.415;1519129.896;630912.4565;630912.4565;970101.4354;1229026.22;1607621.608;2088356.67;2192352.215;2192352.215;2443366.373;4624454.046;2827441.895;3183638.883;3495635.838;1229026.22;1258882.562;2616582.493;2948707.737;423171.4465;95621.4906;181336.912;791046.5163;1246660.991;2320019.893;3873052.885;1785871.162;3294104.913;671431.553;1543889.336;1905775.253;1739301.256;1314336.501;3495635.838;423171.4465;671431.553;886357.8748;1095689.764;1739301.256;2132779.854;2616582.493;1437899.452;1857291.691;1543889.336;1122679.256;2325703.415;2917701.273;1201039.278;861491.231;791046.5163;2827441.895;3873052.885;70494.05706;4279849.393;1879978.933;2435282.929;2860291.617;3583759.183;2818408.946
Candeias;371365.2798;2513057.456;2359459.919;1785327.049;1359773.731;1086078.934;1498631.22;2770710.457;5495102.543;3319680.623;746889.955;2756017.952;638295.0521;880118.2468;1716991.39;0;1982446.928;2770710.457;1528968.011;1757006.372;3819356.234;2055283.187;2007954.212;1898328.302;3358574.117;1406380.483;726374.9823;4054287.38;2933565.429;1406380.483;865641.8353;2355574.191;1966338.262;2359459.919;1471377.588;3003428.351;109369.7823;2208801.089;2823985.915;2389778.394;1086078.934;1086078.934;746889.955;487965.1703;109369.7823;371365.2798;475360.8248;475360.8248;726374.9823;5495102.543;3698090.392;4054287.38;4366284.335;487965.1703;1757165.062;3487230.99;3819356.234;1293819.944;1621369.9;1898328.302;2508037.907;1744943.492;603028.5024;4743701.382;2284153.662;4164753.411;1542080.05;2414537.834;2776423.751;2609949.754;1091125.021;4366284.335;1293819.944;1542080.05;1757006.372;1966338.262;2609949.754;3003428.351;3487230.99;1936181.952;2355574.191;2414537.834;1993327.754;2823985.915;3788349.77;1699321.778;1359773.731;2508037.907;3698090.392;4743701.382;1646497.333;5150497.89;2378261.433;2933565.429;3358574.117;4082041.683;1101417.555
Canuma;2353812.208;1498241.944;1344644.408;770511.5374;622673.1967;896367.994;483815.7081;2537883.494;5262275.58;2304865.111;1235556.973;1741202.44;2620741.98;2862565.175;1484164.428;1982446.928;0;2537883.494;3511414.939;1524179.41;3586529.272;1040467.676;993138.7;1665501.34;2343758.606;3388827.411;2708821.91;3821460.418;1918749.918;3388827.411;2848088.763;1340758.68;1733511.299;1344644.408;734277.0539;2770601.389;1873077.146;1975974.127;1809170.404;2156951.431;896367.994;896367.994;1235556.973;1494481.758;1873077.146;2353812.208;2457807.753;2457807.753;2708821.91;5262275.58;3465263.429;3821460.418;4133457.373;1494481.758;225281.8656;3254404.028;3586529.272;1060992.981;1388542.937;1665501.34;2275210.944;730127.98;2585475.43;4510874.42;1269338.15;3931926.448;1309253.088;2181710.871;2543596.788;2377122.791;1579792.039;4133457.373;1060992.981;1309253.088;1524179.41;1733511.299;2377122.791;2770601.389;3254404.028;921366.4407;1340758.68;2181710.871;1760500.791;1809170.404;3555522.807;684506.2667;622673.1967;2275210.944;3465263.429;4510874.42;1413670.371;4917670.927;1363445.922;1918749.918;2343758.606;3067226.171;3083864.483
Caqueta1;3142075.736;3068494.022;2914896.485;2340763.615;1915210.297;1684631.523;2054067.786;0;4333136.476;3875117.189;2023820.502;3311454.518;3409005.509;3650828.703;1900061.959;2770710.457;2537883.494;0;4299678.467;1013704.084;2657390.168;2610719.753;2563390.778;2081398.871;3914010.683;4177090.94;3497085.439;2892321.314;3489001.995;4177090.94;3636352.292;2911010.757;804372.195;2914896.485;2026814.154;1841462.285;2661340.674;1046835.023;3379422.481;1227812.327;1684631.523;1684631.523;2023820.502;2282745.286;2661340.674;3142075.736;3246071.281;3246071.281;3497085.439;4333136.476;2536124.325;2892321.314;3204318.269;2282745.286;2312601.628;2325264.924;2657390.168;1476890.513;1804440.469;2081398.871;2691108.475;2300380.058;3373738.959;3581735.316;2839590.228;3002787.344;1228630.406;2101088.19;2462974.107;1447983.687;2368055.568;3204318.269;1476890.513;1228630.406;1013704.084;804372.195;1447983.687;1841462.285;2325264.924;2491618.518;2911010.757;2101088.19;831361.6873;3379422.481;2626383.704;2254758.344;1915210.297;2691108.475;2536124.325;3581735.316;1829567.902;3988531.823;2933697.999;3489001.995;3914010.683;4637478.249;3872128.012
Chapare;1157602.731;4042025.467;3888427.93;3314295.06;2888741.742;2615046.945;3027599.23;4299678.467;7024070.554;4848648.634;2275857.966;4284985.963;1216541.413;956336.293;3245959.401;1528968.011;3511414.939;4299678.467;0;3285974.383;5348324.245;3584251.198;3536922.222;3427296.313;4887542.128;122587.5275;802593.0284;5583255.391;4462533.44;122587.5275;941859.8815;3884542.202;3495306.272;3888427.93;3000345.599;4532396.362;1638337.793;3737769.1;4352953.926;3918746.404;2615046.945;2615046.945;2275857.966;2016933.181;1638337.793;1157602.731;1053607.186;1053607.186;802593.0284;7024070.554;5227058.403;5583255.391;5895252.346;2016933.181;3286133.073;5016199.001;5348324.245;2822787.955;3150337.91;3427296.313;4037005.917;3273911.502;1181274.864;6272669.393;3813121.672;5693721.421;3071048.061;3943505.844;4305391.762;4138917.764;2620093.032;5895252.346;2822787.955;3071048.061;3285974.383;3495306.272;4138917.764;4532396.362;5016199.001;3465149.963;3884542.202;3943505.844;3522295.764;4352953.926;5317317.781;3228289.789;2888741.742;4037005.917;5227058.403;6272669.393;3175465.344;6679465.901;3907229.444;4462533.44;4887542.128;5611009.694;427550.4553
Coari;2128371.652;2054789.938;1901192.401;1327059.531;901506.2128;670927.4383;1040363.701;1013704.084;3738096.171;2861413.105;1010116.417;2297750.434;2395301.424;2637124.619;886357.8748;1757006.372;1524179.41;1013704.084;3285974.383;0;2062349.862;1597015.669;1549686.693;1067694.787;2900306.599;3163386.855;2483381.354;2297281.008;2475297.911;3163386.855;2622648.208;1897306.673;209331.8893;1901192.401;1013110.07;1246421.979;1647636.59;451794.7171;2365718.397;632772.0214;670927.4383;670927.4383;1010116.417;1269041.202;1647636.59;2128371.652;2232367.197;2232367.197;2483381.354;3738096.171;1941084.02;2297281.008;2609277.963;1269041.202;1298897.544;1730224.618;2062349.862;463186.4283;790736.3842;1067694.787;1677404.391;1286675.973;2360034.875;2986695.01;1825886.143;2407747.038;214926.3219;1087384.105;1449270.022;852943.3813;1354351.483;2609277.963;463186.4283;214926.3219;0;209331.8893;852943.3813;1246421.979;1730224.618;1477914.434;1897306.673;1087384.105;236321.3816;2365718.397;2031343.398;1241054.26;901506.2128;1677404.391;1941084.02;2986695.01;815863.8178;3393491.518;1919993.915;2475297.911;2900306.599;3623774.165;2858423.928
