BvNiv2;bv2stand;MajType;length_km
Maranon1;Maranon1;C;28.4302278138
Maranon3;Maranon2;C;248.357550005
Maranon5;Maranon3;C;265.886361918
Pastaza;Pastaza;C;441.549522104
Santiago;Santiago;C;388.420047071
Tigre;Tigre;C;72.2779213876
Curaray;Curaray;C;9.9277383718
Napo2;Napo2;C;806.59971998
Negro5;Negro4;C;247.789972567
Putumayo;Putumayo;C;318.284104315
Apurimac1;Apurimac;C;225.373488681
Mantaro;Mantaro;C;25.2655784877
Pachitea;Pachitea;C;478.080194709
Ucayali1;Ucayali1;C;396.54884038
Ucayali2;Ucayali2;C;459.433412391
Urubamba;Urubamba;C;370.901747813
