"GenusspeciesAmazonfishbase2";"Genusspecies.Amazon.fishbase";"Genusspecies.base.morpho";"EdHd";"MoBd";"JlHd";"EhBd";"BlBd";"HdBd";"PFiBd";"PFlBl";"CFdCPd";"Length";"spAmazFish"
"Corydoras_sodalis";"Corydoras.sodalis";"Corydoras.sodalis";0.3075456806;0;0.0758922603;0.3634712524;2.3280655721;0.5739352655;0;0.2427070407;3.3321560739;5;"Corydoras_sodalis"
"Corydoras_spectabilis";"Corydoras.spectabilis";"Corydoras.spectabilis";0.3172120355;0;0.0793715507;0.4308579353;2.4887786009;0.5986497829;0;0.2118357771;2.4071116584;5;"Corydoras_spectabilis"
"Corydoras_splendens";"Corydoras.splendens";"Corydoras.splendens";0.2568514851;0;0.1019405941;0.394966992;2.4576977813;0.6332010507;0;0.1953395235;2.3792901404;6;"Corydoras_splendens"
"Corydoras_stenocephalus";"Corydoras.stenocephalus";"Corydoras.stenocephalus";0.3350657473;0;0.0487940927;0.5460770821;2.925397418;0.7483214558;0;0.2380843542;2.5355448974;6;"Corydoras_stenocephalus"
"Corydoras_sterbai";"Corydoras.sterbai";"Corydoras.sterbai";0.2922818521;0;0.0701376367;0.4314589171;2.3290807283;0.6621291516;0;0.2612261083;2.5476089469;7;"Corydoras_sterbai"
"Corydoras_sychri";"Corydoras.sychri";"Corydoras.sychri";0.3186950533;0;0.0578771646;0.5671208673;2.7838917281;0.7215715627;0;0.2016061142;2.896516918;4;"Corydoras_sychri"
"Corydoras_trilineatus";"Corydoras.trilineatus";"Corydoras.trilineatus";0.2946415471;0;0.0726856019;0.4256286252;2.303010361;0.6953673804;0;0.3019384507;2.0064967024;6;"Corydoras_trilineatus"
"Corydoras_tukano";"Corydoras.tukano";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Corydoras_tukano"
"Corydoras_urucu";"Corydoras.urucu";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"Corydoras_urucu"
"Corydoras_virginiae";"Corydoras.virginiae";"Corydoras.virginiae";0.3388906375;0;0.082925786;0.4257282109;2.613949582;0.6266558925;0;0.1410993515;3.0323891949;5;"Corydoras_virginiae"
"Corydoras_weitzmani";"Corydoras.weitzmani";"Corydoras.weitzmani";0.2700769748;0;0.0818806552;0.4430809043;2.4153580219;0.6763170264;0;0.3096147367;2.3074872478;5.3721512219;"Corydoras_weitzmani"
"Corydoras_xinguensis";"Corydoras.xinguensis";"Corydoras.xinguensis";0.3091686295;0;0.0770024924;0.4223055489;2.5228364695;0.6572293509;0;0.2272634301;2.3672000242;4;"Corydoras_xinguensis"
"Corydoras_zygatus";"Corydoras.zygatus";"Corydoras.zygatus";0.3038170584;0;0.0798705796;0.4022070926;2.7302633548;0.647800389;0;0.2127028145;2.3237914219;6;"Corydoras_zygatus"
