"TaxoBsim";"pvalue_TaxoBsim"
"(Intercept)";0.07;0
"D_energ_s";-0.16;0.43
"D_water_s";-0.02;0.86
"D_temp_s";0.37;0.05
"D_Habitat_size_s";-0.06;0.42
"D_Habitat_Div_s";0.15;0.04
"D_Habitat_harsh_s";0.4;0
"D_Habitat_position_s";0.14;0.21
"D_Habitat_fragm_s";0.02;0.77
"D_Habitat_water_s";-0.2;0
"D_Habitat_SampEff_s";-0.07;0.39
"D_Marine_Incurs_s";-0.24;0.06
"D_CurrentLGM_s";0.17;0.09
"D_Pebas23mya_s";-0.22;0.05
"D_hydro_s";-0.03;0.53
"D_spat_s";0.54;0
"dev";324.39;4640
