"TaxoBsne";"pvalue_TaxoBsne"
"(Intercept)";-1.78;0.2
"D_energ_s";0.24;0.4
"D_water_s";-0.24;0.2
"D_temp_s";-0.16;0.8
"D_Habitat_size_s";-0.01;1
"D_Habitat_Div_s";-0.03;0.6
"D_Habitat_harsh_s";-0.1;0.4
"D_Habitat_position_s";-0.15;0.4
"D_Habitat_fragm_s";-0.05;0.6
"D_Habitat_water_s";0.13;0.2
"D_Habitat_SampEff_s";0.57;0.2
"D_Marine_Incurs_s";-0.16;0.4
"D_CurrentLGM_s";0.15;0.4
"D_Pebas23mya_s";-0.05;0.6
"D_hydro_s";-0.06;0.4
"D_spat_s";-0.14;0.2
"dev";503.48;4640
