"PBsimCasse";"pvalue_PBsimCasse"
"(Intercept)";-1.37;0.2
"D_energ_s";-0.27;0.2
"D_water_s";0.04;0.6
"D_temp_s";-0.08;0.8
"D_Habitat_size_s";0.08;0.2
"D_Habitat_Div_s";0.06;0.4
"D_Habitat_harsh_s";0.23;0.2
"D_Habitat_position_s";-0.1;0.4
"D_Habitat_fragm_s";-0.04;0.8
"D_Habitat_water_s";-0.17;0.2
"D_Habitat_SampEff_s";-0.31;0.2
"D_Marine_Incurs_s";-0.13;0.2
"D_CurrentLGM_s";0.15;0.2
"D_Pebas23mya_s";-0.2;0.2
"D_hydro_s";0.02;0.6
"D_spat_s";0.51;0.2
"dev";256.54;4640
