"PBsim3k";"pvalue_PBsim3k"
"(Intercept)";-1.18;0.33
"energ_US";-0.16;0.33
"water_US";-0.11;0.33
"temp_US";0.14;0.33
"size_US";0.03;0.67
"Div_US";0.12;0.33
"harsh_US";0.23;0.33
"position_US";0.05;1
"fragm_US";-0.02;0.67
"SampEff_US";-0.16;0.33
"Marine_Incurs_US";-0.15;0.33
"CurrentLGM_US";0.13;0.33
"Pebas23mya_US";-0.12;0.67
"hydro_US";0.01;0.67
"spat_US";0.39;0.33
"dev";146.01;3813
