"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"PC7";"PC8";"PC9";"PC10"
"Standard deviation";1.58;1.36;1.23;1.13;0.95;0.85;0.69;0.59;0.51;0.4
"Proportion of Variance";0.25;0.19;0.15;0.13;0.09;0.07;0.05;0.04;0.03;0.02
"Cumulative Proportion";0.25;0.43;0.59;0.71;0.8;0.88;0.92;0.96;0.98;1
