"PBsim_gen";"pvalue_PBsim_gen"
"Int";0.21;0
"D_energ_s";-0.04;0.11
"D_water_s";0.01;0.7
"D_temp_s";-0.01;0.53
"D_Habitat_size_s";0.01;0.19
"D_Habitat_Div_s";0.01;0.29
"D_Habitat_harsh_s";0.04;0
"D_Habitat_position_s";-0.01;0.36
"D_Habitat_fragm_s";-0.01;0.51
"D_Habitat_water_s";-0.03;0
"D_Habitat_SampEff_s";-0.05;0
"D_Marine_Incurs_s";-0.02;0.18
"D_CurrentLGM_s";0.02;0.09
"D_Pebas23mya_s";-0.03;0.03
"D_hydro_s";0;0.56
"D_spat_s";0.08;0
"r.squared";0.24;0
"F.test";97.89;0
