"PBsimCasse";"pvalue_PBsimCasse"
"(Intercept)";-1.38;0
"energ_US";-0.21;0.14
"water_US";-0.16;0.01
"temp_US";-0.08;0.59
"size_US";0.06;0.35
"Div_US";0.08;0.24
"harsh_US";0.2;0.02
"position_US";-0.06;0.51
"fragm_US";-0.04;0.56
"SampEff_US";-0.21;0
"Marine_Incurs_US";-0.17;0.14
"CurrentLGM_US";0.17;0.07
"Pebas23mya_US";-0.2;0.05
"hydro_US";0.02;0.7
"spat_US";0.49;0
"dev";207.4;3813
