Genusspecies Amazon fishbase;Genusspecies base morpho;EdHd;MoBd;JlHd;EhBd;BlBd;HdBd;PFiBd;PFlBl;CFdCPd;Length
Acrobrycon.ipanquianus;Acrobrycon.ipanquianus;0,449502504;0,4782608696;0,4670518165;0,4782608696;3,4568206522;0,4662844203;0,1666757246;0,1892724162;2,4090178007;10
Acrobrycon.tarijae;Acrobrycon.tarijae;0,3545760359;0,5358425003;0,5199345009;0,6105817616;3,2143440099;0,5626248617;0,2114950356;0,1991239493;2,4356310386;6
Adontosternarchus.balaenops;Adontosternarchus.balaenops;0,1346174649;0,5058365759;0,4761334708;0,5719844358;5,8106731518;0,5395603113;0,3320583658;0,1052678454;1,8739755964;25
Adontosternarchus.clarkae;Adontosternarchus.clarkae;0,1333287167;0,5693779904;0,556975174;0,5980861244;7,2741100478;0,4145598086;0,3827751196;0,0766620298;0,8888507038;19
Adontosternarchus.devenanzii;Adontosternarchus.devenanzii;0,137494654;0,4758026145;0,3581682001;0,5241893211;6,1956435835;0,3676946154;0,3467955904;0,0866789628;1,4422511734;19
Adontosternarchus.nebulosus;;;;;;;;;;;
Adontosternarchus.sachsi;Adontosternarchus.sachsi;0,1904343061;0,4615319149;0,5117516438;0,4952659574;8,4782553191;0,368893617;0,3546117021;0,0600955385;1,7523584906;32
Aequidens.diadema;Aequidens.diadema;0,2116029082;0,3781488095;0,3558973048;0,6296964286;2,4149345238;0,8383571429;0,3988511905;0,2311508988;1,7810070457;12
Aequidens.epae;Aequidens.epae;0,3492094862;0,4012348523;0,2965363012;0,6069283816;2,5031946428;0,7383003886;0,3788569937;0,3212807667;1,1856778497;11
Aequidens.gerciliae;Aequidens.gerciliae;0,3089050722;0,3541849022;0,3513478983;0,5902805706;2,3511686499;0,6943590168;0,4143739207;0,1823139519;1,228863931;13
Aequidens.mauesanus;Aequidens.mauesanus;0,321555505;0,3907823749;0,2316328248;0,6303068245;2,1776378378;0,6199647695;0,4012410466;0,3776029042;1,4180028174;13
Aequidens.metae;Aequidens.metae;0,2268852446;0,3748633865;0,2262957244;0,5350781092;2,0769158593;0,6769962085;0,3444787015;0,2404733787;1,9232098815;12
Aequidens.michaeli;Aequidens.michaeli;0,3805990441;0,3821897472;0,2342160031;0,5905245565;2,2450882204;0,615845863;0,3663232742;0,2836803339;1,621272679;20
Aequidens.pallidus;Aequidens.pallidus;0,3681057056;0,4177988284;0,2329854587;0,5914146828;2,3470771532;0,6606955004;0,3891162907;0,3229594384;2,0864493701;14
Aequidens.patricki;Aequidens.patricki;0,3467042011;0,4672855078;0,3963375856;0,5765991443;2,5475221969;0,6258098878;0,3158723377;0,2127178573;2,0806704697;12
Aequidens.plagiozonatus;Aequidens.plagiozonatus;0,345887005;0,4461643851;0,3498831706;0,5782205048;2,100843612;0,631706034;0,3912179577;0,2965409026;1,4710185836;10
Aequidens.rondoni;Aequidens.rondoni;0,2447763975;0,4151845757;0,3622360248;0,5689946458;2,1622316936;0,5900267161;0,3722665455;0,2796480036;1,9941170324;10
Aequidens.tetramerus;Aequidens.tetramerus;0,2967384545;0,4158929067;0,3730975682;0,5768500841;2,3430962106;0,6923447334;0,3933287635;0,3097018624;1,93763179;25
Aequidens.tubicen;Aequidens.tubicen;0,3090071947;0,2954581446;0,3171113962;0,5351196698;2,2028473696;0,6500596501;0,3823097795;0,303115482;1,1306608417;12
Aequidens.viridis;Aequidens.viridis;0,3223094721;0,3527781692;0,2701828675;0,5787656756;2,1466758255;0,6571967028;0,4056937204;0,3363536165;1,7241661979;16
Agamyxis.albomaculatus;Agamyxis.albomaculatus;0,2195121951;0,2028654748;0,3124292773;0,4021264649;2,9502073937;0,4185477006;0,0740096723;0,2337786564;1,9489841582;15
Agamyxis.pectinifrons;Agamyxis.pectinifrons;0,2555613521;0,2887061856;0,3292232056;0,4742268041;3,5623092784;0,3853453608;0,1237113402;0,2514093719;3,1317006717;15
Ageneiosus.atronasus;Ageneiosus.atronasus;0,4351427564;0,3267883258;0,6502467395;0,19612132;4,4023907929;0,5772493165;0,1062885484;0,2004090334;2,9657576316;12
Ageneiosus.brevis;Ageneiosus.brevis;0,4905452127;0,4719215586;0,7260776665;0,3445667074;4,3259413787;0,3970176253;0,1161039992;0,2160761362;2,2927358967;16
Ageneiosus.inermis;Ageneiosus.inermis;0,2272766305;0,6166262626;0,7527907776;0,5151767677;4,0315454545;0,4705252525;0,4191919192;0,2045271758;2,7451312682;59
Ageneiosus.militaris;Ageneiosus.militaris;0,3019392329;0,6781026605;0,7421258089;0,5296216861;5,617790952;0,4355579835;0,4059823603;0,1612697845;2,4394134026;30
Ageneiosus.pardalis;Ageneiosus.pardalis;0,2323304396;0,5668782151;1,0600745233;0,5238614601;4,576814407;0,4332935428;0,5853937119;0,1227647494;3,0233610364;44
Ageneiosus.piperatus;Ageneiosus.piperatus;0,5142857143;0,608;0,4802142857;0,464072;4,528032;0,56;0,232;0,1387781712;2,3548387097;5
Ageneiosus.polystictus;Ageneiosus.polystictus;0,34375;0,6741403199;0,8805094575;0,415623676;4,5723528267;0,513368984;0,2956177215;0,1512150043;3,0258840986;45
Ageneiosus.ucayalensis;Ageneiosus.ucayalensis;0,4197491781;0,6001814882;1,0619992695;0,4995319515;5,2881937148;0,3922533193;0,4012990735;0,1656494244;3,6329897371;28
Ageneiosus.uranophthalmus;Ageneiosus.uranophthalmus;0,2424242424;0,6199095023;0,9260505051;0,5022624434;5,1848235294;0,4479638009;0,3122171946;0,1362835844;4,5338310277;107,039
Ageneiosus.vittatus;Ageneiosus.vittatus;0,4010872164;0,4589971433;0,6923202758;0,3312989377;4,328259679;0,3920890463;0,2796463408;0,1775319861;3,6771013422;22
Agoniates.anchovia;Agoniates.anchovia;0,4503664332;0,4608510792;0,3317156125;0,5113992702;3,0827266269;0,4900570641;0,2146209995;0,1777562131;2,62780681;15
Agoniates.halecinus;Agoniates.halecinus;0,3741006167;0,6713128321;0,839752741;0,6289456108;5,4680914907;0,678030413;0,1529266003;0,1831163682;2,9072115263;22
Aguarunichthys.inpai;Aguarunichthys.inpai;0,1224038277;0,2834840581;0,2676212637;0,5995084884;4,0578136094;0,5866806655;0,302973193;0,2057740454;2,595113415;42
Aguarunichthys.tocantinsensis;Aguarunichthys.tocantinsensis;0,2121145638;0,1314680298;0,6893773186;0,5066810152;4,882611425;0,6423254801;0,1265101144;0,1702630654;3,3293199769;32
Aguarunichthys.torosus;Aguarunichthys.torosus;0,1800053533;0,1472952893;0,5178834315;0,4825377144;5,1941270825;0,5882364518;0,1529438392;0,1509959797;1,2418333409;35
Amaralia.hypsiura;Amaralia.hypsiura;0,3229562619;0,2473559274;0,2989221294;0,5485191714;4,7033467084;0,5612304997;0,2290775266;0,1996909471;2,5904593128;13
Amazonspinther.dalmata;;;;;;;;;;;
Amazonsprattus.scintilla;Amazonsprattus.scintilla;0,6874984894;0,3311688312;0,5980535123;0,5131493506;8,1558571429;0,8059805195;0,3836103896;0,1366987293;2,764048383;2
Amblydoras.affinis;Amblydoras.affinis;0,301183047;0,4378712532;0,3323374214;0,5946912023;4,1038430624;0,5424200642;0,274536199;0,3220457734;2,8581438661;10
Amblydoras.monitor;Amblydoras.monitor;0,3939393939;0,3356771707;0,2953662505;0,4810478282;4,148946539;0,4177135877;0,1139218876;0,2773840432;1,4241911211;9
Amblydoras.nauticus;Amblydoras.nauticus;0,3376623377;0,2470266667;0,2852871808;0,4868466667;4,1462;0,5133333333;0,12;0,2580113518;1,3896868588;8
Ammocryptocharax.elegans;Ammocryptocharax.elegans;0,6451612903;0,2723554327;0,8540645161;0,4409823847;7,7078296279;0,5635441473;0,3002781363;0,1165235849;2,3858653598;3
Ammocryptocharax.lateralis;Ammocryptocharax.lateralis;0,5475105885;0,4923549813;0,3466266963;0,5048110966;3,3206388263;0,5459478947;0,1775004551;0,1710568586;3,0887322513;3
