Genusspecies Amazon fishbase;Genusspecies base morpho;EdHd;MoBd;JlHd;EhBd;BlBd;HdBd;PFiBd;PFlBl;CFdCPd;Length
Cichlasoma.portalegrense;Cichlasoma.portalegrense;0,3485494881;0,4283238139;0,2964883746;0,5804087292;2,169904916;0,6191026445;0,3234177424;0,2956975546;1,8860072376;10
Cichlasoma.sanctifranciscense;Cichlasoma.sanctifranciscense;0,2780676727;0,3440776778;0,2000347151;0,524203452;2,1640261265;0,6219821595;0,3434501559;0,2622126325;1,952205281;8
Clupeacharax.anchoveoides;Clupeacharax.anchoveoides;0,4500777778;0,6916118863;0,6309722222;0,6003845454;4,2458475156;0,6235871853;0,2664674652;0,2439557938;2,3866666667;7
Colomesus.asellus;Colomesus.asellus;0,4070148118;0,4768051447;0,1350581323;0,6030926474;3,1560387175;0,7462101204;0,5128882316;0,1642632547;2,7543859649;14
Colomesus.psittacus;Colomesus.psittacus;0,3879310345;0,3916184971;0,1890689655;0,5547699804;2,8185221898;0,6926861893;0,5267938184;0,1408535151;2,9194839778;30
Colossoma.macropomum;Colossoma.macropomum;0,2140991067;0,565490417;0,1712877128;0,5044680236;2,0463471814;0,361278144;0,2114965976;0,1848797634;3,5899434405;108
Compsaraia.compsus;Compsaraia.compsus;0,1955691318;0,4872997985;0,4378912947;0,5746388836;9,3384832584;0,4798891333;0,3837943866;0,0606661233;0,1084548849;34
Compsaraia.samueli;;;;;;;;;;;
Copeina.guttata;Copeina.guttata;0,5742057489;0,6038840736;0,2088691377;0,5595877594;4,1088695037;0,4923054006;0,2205971344;0,1737593634;2,2635190585;8
Copeina.osgoodi;Copeina.osgoodi;0,7008815327;0,7448971478;0,4213838241;0,6437514909;3,7526225327;0,4364444879;0,3124896781;0,1636563679;2,8949610376;5
Copella.arnoldi;Copella.arnoldi;0,6;0,7469798329;0,2059114694;0,6036536058;5,0928226617;0,4331765052;0,2123061089;0,196891254;2,7504998451;3
Copella.compta;Copella.compta;0,5111111111;0,7008285257;0,2188666667;0,5733855186;5,7245787481;0,5718352098;0,2292677968;0,1475793025;2,65;5
Copella.eigenmanni;Copella.eigenmanni;0,7118693808;0,6365409059;0,2263692874;0,5021377398;5,3295152531;0,541411486;0,2043708112;0,1272640546;3,0804001819;4
Copella.meinkeni;;;;;;;;;;;
Copella.metae;Copella.metae;0,5677280265;0,5858161981;0,212371476;0,488824828;5,6172891313;0,5500921382;0,2045831889;0,122308187;2,9964948771;3
Copella.nattereri;Copella.nattereri;0,6161576739;0,716558756;0,1309005757;0,6567015399;4,1557426852;0,4865000854;0,257903431;0,1340838532;2,4654054555;4
Copella.nigrofasciata;Copella.nigrofasciata;0,6423813344;0,4994629784;0,294336135;0,5036933935;5,0565187848;0,6284906405;0,3779097804;0,1250712541;2,0373971382;4
Copella.vilmae;Copella.vilmae;0,3792078673;0,6785529543;0,2110012428;0,5789517596;5,0788432979;0,6176308632;0,1154532864;0,1678483425;2,7678523669;4
Cordylancistrus.platycephalus;Cordylancistrus.platycephalus;0,3514660389;0,21305779;0,2821950491;0,535218898;3,8618249826;0,5605515753;0,176494928;0,2725473549;3,2399056059;14
Cordylancistrus.platyrhynchus;Cordylancistrus.platyrhynchus;0,2029634146;0;0;0,7447291667;5,3128645833;0,8541666667;0;0,2628799984;1,78335;10
Corydoras.acrensis;Corydoras.acrensis;0,32062;0;0,0784287425;0,3988947368;2,5264473684;0,6578947368;0;0,2622727983;2,2142857143;3
Corydoras.acutus;Corydoras.acutus;0,2965555556;0;0,0641655294;0,5293033286;2,7564432541;0,7043233279;0;0,2058441272;2,7907906977;4
Corydoras.adolfoi;;;;;;;;;;;
Corydoras.aeneus;Corydoras.aeneus;0,229434757;0;0,0728271751;0,3847031415;2,6196380536;0,6728432126;0;0,1878153042;1,7135286783;8
Corydoras.agassizii;Corydoras.agassizii;0,3026315789;0;0,0667122226;0,3750937467;2,928484697;0,6785471947;0;0,2290626277;2,6342682927;5
Corydoras.albolineatus;;;;;;;;;;;
Corydoras.amandajanea;Corydoras.amandajanea;0,328789954;0;0,0511803359;0,4401632614;3,0070088175;0,7211228387;0;0,251527503;2,6122627138;6
Corydoras.ambiacus;Corydoras.ambiacus;0,3205184214;0;0,0868532337;0,3975616378;2,7086879069;0,6821387655;0;0,1968070021;2,6539372673;5
Corydoras.amphibelus;Corydoras.amphibelus;0,3205207063;0;0,0937997964;0,3774199349;2,4520508592;0,6096591258;0;0,2830688328;2,4084180005;5,0158087311
Corydoras.arcuatus;Corydoras.arcuatus;0,283039958;0;0,0715159717;0,4406237452;2,4977389564;0,6772138151;0;0,2356091172;1,9937429312;4
Corydoras.armatus;Corydoras.armatus;0,3506797185;0;0,0764248792;0,4393944088;2,688725718;0,6757288472;0;0,3110942109;2,8768768381;5
Corydoras.atropersonatus;Corydoras.atropersonatus;0,3555529218;0;0,0730293755;0,4402711085;2,4782804031;0,6521724428;0;0,2577557119;2,6233766234;4
Corydoras.baderi;Corydoras.baderi;0,2839438033;0;0,098936277;0,432874644;2,3937613671;0,6839161319;0;0,2810905031;2,0694133953;5
Corydoras.bifasciatus;Corydoras.bifasciatus;0,2375248643;0;0,0689730152;0,4386034811;2,8045998563;0,7265788569;0;0,2142674095;2,8272006462;5
Corydoras.bilineatus;Corydoras.bilineatus;0,3945669499;0;0,0692823972;0,2849046372;2,7090773219;0,5767201016;0;0,2326317443;3,048360312;5
Corydoras.blochi;Corydoras.blochi;0,3239177691;0;0,0642900093;0,5097844828;2,5690258621;0,6940086207;0;0,2643293614;3,4785453661;5
Corydoras.britskii;Corydoras.britskii;0,2512658874;0;0,0680682712;0,3889963297;2,5836270626;0,7125300228;0;0,2274579402;2,3627508595;9
Corydoras.burgessi;Corydoras.burgessi;0,3144135994;0;0,0602901959;0,4724236111;2,6041736111;0,7292013889;0;0,2412713566;2,5278726254;5
Corydoras.caudimaculatus;Corydoras.caudimaculatus;0,337563253;0;0,0950612125;0,4405909091;2,1398601399;0,5804195804;0;0,3193431373;1,8306449973;4
Corydoras.cervinus;Corydoras.cervinus;0,275978201;0;0,0535145645;0,5639035496;2,8146768314;0,7511354882;0;0,2105488921;2,4994209083;5
Corydoras.copei;Corydoras.copei;0,3421652722;0;0,0770260278;0,4351136845;2,356277362;0,64407852;0;0,2378260453;2,4391437402;4
Corydoras.coriatae;Corydoras.coriatae;0,2568761553;0;0,037752821;0,5093828011;3,1914435741;0,7761613727;0;0,20229265;3,4371483684;6
Corydoras.crimmeni;Corydoras.crimmeni;0,3273074772;0;0,0809810489;0,4561834823;2,3642720307;0,6375957854;0;0,1795117647;2,5341371947;4
Corydoras.cruziensis;Corydoras.cruziensis;0,3235986446;0;0,0779901517;0,3896245003;2,3842162022;0,6269247298;0;0,2357410311;2,7885197169;4
Corydoras.crypticus;Corydoras.crypticus;0,3348011543;0;0,0740854036;0,4135241357;2,7791766933;0,656118223;0;0,2055013897;2,5914499869;4
Corydoras.davidsandsi;Corydoras.davidsandsi;0,2811587936;0;0,0790742234;0,4256945925;2,5515810417;0,5916222554;0;0,184327344;2,5540498137;4
Corydoras.duplicareus;Corydoras.duplicareus;0,3385826772;0;0,0643013777;0,4894974259;2,8242611386;0,6977906958;0;0,2157681353;2,3699041096;4
Corydoras.elegans;Corydoras.elegans;0,2749070268;0;0,0741478617;0,3199913273;2,6366383927;0,537079257;0;0,2118121401;2,7450084753;5
Corydoras.eques;Corydoras.eques;0,2207961406;0;0,0945438028;0,3709439812;2,3930491389;0,5979344867;0;0,2438037039;2,0135402139;5
Corydoras.evelynae;Corydoras.evelynae;0,3528121384;0;0,1151680352;0,3922798622;2,4590336206;0,5469279869;0;0,2778281278;2,1536474838;4
Corydoras.fowleri;Corydoras.fowleri;0,2011166491;0;0,0410795603;0,582062187;3,1499962286;0,7264013554;0;0,2083016366;2,2351943094;6
Corydoras.geryi;Corydoras.geryi;0,2438832772;0;0,0752880078;0,3247585966;2,7540415957;0,5839559575;0;0,2520991405;2,6182941176;6
Corydoras.gomezi;Corydoras.gomezi;0,3448405758;0;0,0807437312;0,4038066998;2,4764625741;0,5956884116;0;0,2271231307;2,6471660424;4
Corydoras.gossei;Corydoras.gossei;0,2604845012;0;0,0790670984;0,4124435799;2,4178475785;0,6310555263;0;0,248330798;2,1038325349;6
Corydoras.gracilis;Corydoras.gracilis;0,3913278083;0;0,0410950445;0,3808651885;3,2796143942;0,6043025317;0;0,2065908621;2,666678756;2
Corydoras.griseus;Corydoras.griseus;0,369219852;0;0,0487640343;0,4813437633;3,149872922;0,6828686993;0;0,2232072424;2,5669601639;4
Corydoras.guapore;Corydoras.guapore;0,3660002185;0;0,0768649979;0,3413415708;2,7100623846;0,6626766257;0;0,2783459711;2,3714718035;4
Corydoras.hastatus;Corydoras.hastatus;0,4347700067;0;0,0594247933;0,3333333333;2,9077777778;0,6389074074;0;0,2523436505;2,8251;2
Corydoras.imitator;Corydoras.imitator;0,333318319;0;0,0573257841;0,4761904762;2,870755102;0,7551360544;0;0,2038454885;3,4193761248;6
Corydoras.incolicana;Corydoras.incolicana;0,2890066528;0;0,0925519967;0,4677728495;2,8174556452;0,6236787634;0;0,1049696425;2,1012792134;5
Corydoras.isbrueckeri;;;;;;;;;;;
Corydoras.julii;Corydoras.julii;0,2624684912;0;0,0786524097;0,3931606094;2,3881418761;0,6623535375;0;0,2372389743;2,1798604068;5
Corydoras.kanei;Corydoras.kanei;0,3195471998;0;0,0774536215;0,4532137657;2,5238634525;0,6754015763;0;0,317040293;2,4854920155;4
Corydoras.lamberti;Corydoras.lamberti;0,3229851956;0;0,0775659008;0,3971831632;2,6635330265;0,6508819095;0;0,2035785613;2,2710334084;4
Corydoras.latus;Corydoras.latus;0,2073101746;0;0,1023895364;0,4316302735;2,3686502177;0,6342199247;0;0,2405231053;2,6603372892;5
Corydoras.leopardus;Corydoras.leopardus;0,3573165488;0;0,0708546907;0,4264306605;2,6421657823;0,6758042851;0;0,283045876;3,1942486035;6
Corydoras.leucomelas;Corydoras.leucomelas;0,2401222713;0;0,0767423113;0,4050937823;2,2802203222;0,7081977085;0;0,3339852288;2,7313974065;4
Corydoras.loretoensis;Corydoras.loretoensis;0,3581240358;0;0,0617225465;0,4400621174;2,8152823438;0,7358283234;0;0,3104979968;2,3911536519;4
Corydoras.melanistius;Corydoras.melanistius;0,2691834068;0;0,0850005802;0,430677018;2,254534766;0,6447216111;0;0,2773081007;2,3806976892;5
Corydoras.melini;Corydoras.melini;0,3208579068;0;0,0870205542;0,4066491816;2,4460391471;0,6516282967;0;0,2196866654;2,515968603;5
Corydoras.napoensis;Corydoras.napoensis;0,3763422605;0;0,0692202746;0,3161483377;2,8126877348;0,5381865528;0;0,1868859648;2,8639728391;4
Corydoras.narcissus;Corydoras.narcissus;0,2040774678;0;0,0967569286;0,5703442966;2,8349716503;0,7350076499;0;0,2038236332;2,1714714286;6
Corydoras.negro;;;;;;;;;;;
Corydoras.nijsseni;Corydoras.nijsseni;0,3194709207;0;0,0705815774;0,3957896538;2,919767019;0,6397030508;0;0,2677545278;2,0824627912;3
Corydoras.noelkempffi;;;;;;;;;;;
Corydoras.ornatus;Corydoras.ornatus;0,3094309162;0;0,0671379994;0,4078707077;2,8576686884;0,7033297692;0;0,2125612982;2,5793210561;5
Corydoras.orphnopterus;Corydoras.orphnopterus;0,2446389076;0;0,0782305204;0,3833097738;2,6237479806;0,6299878837;0;0,2118327073;2,4771829072;6
Corydoras.ortegai;;;;;;;;;;;
Corydoras.ourastigma;Corydoras.ourastigma;0,3674241122;0;0,0732966652;0,4970553418;2,7602841077;0,6456569991;0;0,2363604172;2,7833166096;6
Corydoras.panda;Corydoras.panda;0,3713145161;0;0,0778408154;0,4256648936;2,7659787234;0,6595744681;0;0,2924631349;2,3549487553;4
Corydoras.pantanalensis;Corydoras.pantanalensis;0,2599870006;0;0,0816695562;0,4183499694;2,5696563093;0,6060798895;0;0,2782021741;2,848784565;7
Corydoras.paragua;;;;;;;;;;;
Corydoras.parallelus;Corydoras.parallelus;0,282248836;0;0,0739907033;0,4111688976;2,3923267116;0,6506778071;0;0,2700181043;2,2535847785;5
Corydoras.pastazensis;Corydoras.pastazensis;0,2779456193;0;0,0479498966;0,5057191838;3,0731883518;0,7040816912;0;0,238957172;2,3245116927;6
Corydoras.paucerna;;;;;;;;;;;
Corydoras.pinheiroi;Corydoras.pinheiroi;0,3161464;0;0,0750952559;0,4208231885;2,8238931864;0,6622160988;0;0,2340521415;2,187801186;6
Corydoras.polystictus;Corydoras.polystictus;0,3199837134;0;0,0828866046;0,4625630525;2,5265060626;0,6547866611;0;0,2907565224;2,9832482805;3
Corydoras.pulcher;Corydoras.pulcher;0,3097157556;0;0,0694267022;0,455127652;2,4255562906;0,6671460209;0;0,2536793115;3,191437089;5
Corydoras.punctatus;Corydoras.punctatus;0,3010636101;0;0,0736837813;0,4682620647;2,279825158;0,6860494772;0;0,3345783705;2,4224037928;7
Corydoras.pygmaeus;Corydoras.pygmaeus;0,4613496648;0;0,0251759965;0,3866716128;3,5177515438;0,6282831809;0;0,1683001671;2,2990998294;2
Corydoras.rabauti;Corydoras.rabauti;0,2785498769;0;0,0864191055;0,3865119908;2,3982933935;0,6675819696;0;0,3064862938;1,9368559549;5
Corydoras.reticulatus;Corydoras.reticulatus;0,3170261085;0;0,0722885122;0,3584030276;2,3341681466;0,6371699326;0;0,2630000043;3,7587066207;6
Corydoras.reynoldsi;Corydoras.reynoldsi;0,344628433;0;0,0726909671;0,4740933871;2,6546575018;0,6707073443;0;0,2476581633;2,1642114024;3
Corydoras.robineae;Corydoras.robineae;0,3768944299;0;0,0655249789;0,4181182134;2,9660419913;0,6788752205;0;0,1678890306;2,8711171844;4
Corydoras.robustus;Corydoras.robustus;0,2828885768;0;0,073950327;0,3791979028;2,7276737904;0,637329966;0;0,2426016432;2,8611792858;7
Corydoras.sarareensis;Corydoras.sarareensis;0,2632560976;0;0,0631738858;0,5634795618;2,772086065;0,7216086593;0;0,1487654203;2,7688825513;4
Corydoras.schwartzi;Corydoras.schwartzi;0,3100716329;0;0,0804733542;0,4162025192;2,2423196354;0,6448201148;0;0,3049613125;2,6803948487;4
Corydoras.semiaquilus;Corydoras.semiaquilus;0,2841188904;0;0,0200324708;0,572384514;3,3334024329;0,7610510867;0;0,2248131242;2,8847115184;6
Corydoras.serratus;Corydoras.serratus;0,2816700886;0;0,0568120138;0,5744712056;2,6082684223;0,7249073863;0;0,2036769774;3,5059227212;5
Corydoras.seussi;Corydoras.seussi;0,262543886;0;0,106530166;0,4316748807;2,6683683726;0,6073140866;0;0,1101070752;2,6333417502;6
Corydoras.similis;Corydoras.similis;0,3575335193;0;0,0702828498;0,4475912019;2,5847262136;0,6595943369;0;0,2609505376;2,5633270059;4
Corydoras.sodalis;Corydoras.sodalis;0,3075456806;0;0,0758922603;0,3634712524;2,3280655721;0,5739352655;0;0,2427070407;3,3321560739;5
Corydoras.spectabilis;Corydoras.spectabilis;0,3172120355;0;0,0793715507;0,4308579353;2,4887786009;0,5986497829;0;0,2118357771;2,4071116584;5
Corydoras.splendens;Corydoras.splendens;0,2568514851;0;0,1019405941;0,394966992;2,4576977813;0,6332010507;0;0,1953395235;2,3792901404;6
Corydoras.stenocephalus;Corydoras.stenocephalus;0,3350657473;0;0,0487940927;0,5460770821;2,925397418;0,7483214558;0;0,2380843542;2,5355448974;6
Corydoras.sterbai;Corydoras.sterbai;0,2922818521;0;0,0701376367;0,4314589171;2,3290807283;0,6621291516;0;0,2612261083;2,5476089469;7
Corydoras.sychri;Corydoras.sychri;0,3186950533;0;0,0578771646;0,5671208673;2,7838917281;0,7215715627;0;0,2016061142;2,896516918;4
Corydoras.trilineatus;Corydoras.trilineatus;0,2946415471;0;0,0726856019;0,4256286252;2,303010361;0,6953673804;0;0,3019384507;2,0064967024;6
Corydoras.tukano;;;;;;;;;;;
Corydoras.urucu;;;;;;;;;;;
Corydoras.virginiae;Corydoras.virginiae;0,3388906375;0;0,082925786;0,4257282109;2,613949582;0,6266558925;0;0,1410993515;3,0323891949;5
Corydoras.weitzmani;Corydoras.weitzmani;0,2700769748;0;0,0818806552;0,4430809043;2,4153580219;0,6763170264;0;0,3096147367;2,3074872478;5,3721512219
Corydoras.xinguensis;Corydoras.xinguensis;0,3091686295;0;0,0770024924;0,4223055489;2,5228364695;0,6572293509;0;0,2272634301;2,3672000242;4
Corydoras.zygatus;Corydoras.zygatus;0,3038170584;0;0,0798705796;0,4022070926;2,7302633548;0,647800389;0;0,2127028145;2,3237914219;6
Creagrutus.amoenus;Creagrutus.amoenus;0,5320847833;0,3725431571;0,300790889;0,4754634304;2,7064630285;0,3873356795;0,1177373028;0,1923510172;2,0401962484;9
Creagrutus.anary;Creagrutus.anary;0,5630636863;0,3693658243;0,3429099737;0,5032696105;3,8758263458;0,5687762928;0,173317975;0,1281722328;2,5772742645;4
Creagrutus.barrigai;Creagrutus.barrigai;0,470069032;0,4138985928;0,2439412938;0,5378303432;3,2499851975;0,5528721851;0,2007174295;0,181312133;1,8749489417;5
Creagrutus.beni;Creagrutus.beni;0,4669666667;0,549836014;0,2544;0,4981916614;3,1005144218;0,6739149969;0,155842843;0,1868838925;2,6424733551;7
Creagrutus.calai;Creagrutus.calai;0,4892165946;0,362815418;0,4391213712;0,5102980102;3,7961839045;0,5427459964;0,1622538989;0,1824607524;1,9944241426;7
Creagrutus.changae;Creagrutus.changae;0,5255321013;0,3742175052;0,2146743891;0,5349964334;3,506643289;0,6089026073;0,1967286885;0,1939201521;2,5936081621;7
Creagrutus.cochui;Creagrutus.cochui;0,4876030272;0,327189956;0,3497249799;0,4193138461;3,944539538;0,560547487;0,2075578658;0,1578096008;2,4439463381;8
Creagrutus.cracentis;Creagrutus.cracentis;0,5384854296;0,3760432286;0,2150592811;0,5413283541;5,1569770183;0,698352524;0,1487632142;0,1771488029;1,9923861456;4
Creagrutus.ephippiatus;Creagrutus.ephippiatus;0,5316551426;0,3355510052;0,5295664074;0,4794470637;4,0253805627;0,6070348536;0,1277918255;0,1984134886;1,9652791069;6
Creagrutus.flavescens;Creagrutus.flavescens;0,4484247847;0,373580026;0,4645695522;0,4561867764;2,9790864152;0,4586038695;0,1701840919;0,192373274;2,2749660963;9
Creagrutus.gephyrus;Creagrutus.gephyrus;0,5225254342;0,2967778205;0,2478359845;0,4677070435;3,8934432062;0,5064116249;0,1806498442;0,14769616;2,4706678624;6
Creagrutus.gracilis;Creagrutus.gracilis;0,4743539681;0,3463678053;0,4315608131;0,4686026212;3,7644284635;0,5671721514;0,1731480758;0,1796383457;2,7434187594;8
Creagrutus.holmi;Creagrutus.holmi;0,3933892097;0,5264637379;0,2487023347;0,6171449224;3,2871714263;0,5106072949;0,2494005071;0,1611640489;3,1076923077;9
Creagrutus.ignotus;Creagrutus.ignotus;0,4721340564;0,3438664722;0,4790318147;0,56840367;4,4595766681;0,6175274518;0,1543857212;0,1802547407;2,0267043669;5
Creagrutus.kunturus;Creagrutus.kunturus;0,4073772313;0,4302250542;0,4658420364;0,5466241868;3,2208798684;0,4709569019;0,2268158114;0,1841151911;2,6306376959;10
Creagrutus.manu;Creagrutus.manu;0,544879928;0,3610291494;0,1489653741;0,4934899447;3,0318791661;0,4910037208;0,1194973184;0,1769452163;2,4598436183;4
Creagrutus.maxillaris;Creagrutus.maxillaris;0,5680375901;0,3919473318;0,5895600983;0,5240436709;4,3691553516;0,5534490618;0,1815287814;0,1781276552;2,2625128042;7
Creagrutus.melanzonus;Creagrutus.melanzonus;0,507368175;0,2627133114;0,2426697238;0,5079300521;4,2440253624;0,6074533089;0,1551957333;0,1664405696;2,16333;4
Creagrutus.menezesi;Creagrutus.menezesi;0,4518593932;0,3784744998;0,3643605119;0,5259635926;3,3426448022;0,5378907778;0,1952640289;0,2157259516;2,3184136147;8
Creagrutus.muelleri;Creagrutus.muelleri;0,4543601174;0,3780299903;0,4393280418;0,5171842385;3,2833146306;0,4277948008;0,2125891772;0,1815655913;2,2166208811;11
Creagrutus.occidaneus;Creagrutus.occidaneus;0,4570645705;0,4158718779;0,4075704225;0,5250470472;3,5333747264;0,5162777003;0,162220117;0,21977156;2,2764920236;7
Creagrutus.ortegai;Creagrutus.ortegai;0,5000182666;0,4021480228;0,377558849;0,562468072;3,3478381289;0,5054131405;0,1820587783;0,2012685223;2,2787709577;7
Creagrutus.ouranonastes;Creagrutus.ouranonastes;0,475509598;0,5079004739;0,3117274484;0,6836492891;4,1666563981;0,4867464455;0,3436018957;0,1512413206;1,9304223608;10
Creagrutus.pearsoni;Creagrutus.pearsoni;0,4211086912;0,6142875821;0,2512837992;0,6594985941;3,3060906347;0,5732891956;0,2557503344;0,1644641205;2,723417947;3
Creagrutus.peruanus;Creagrutus.peruanus;0,4044569122;0,3838358614;0,3125849805;0,4733725904;3,3597580132;0,5628287645;0,1534650674;0,1668372986;2,5223555289;9
Creagrutus.petilus;Creagrutus.petilus;0,5057098531;0,4536353948;0,3449241214;0,5893980542;3,7595035924;0,5894255561;0,2153735089;0,2237541628;2,6722821324;5
Creagrutus.phasma;Creagrutus.phasma;0,515356623;0,5257657349;0,4218427948;0,7013517089;4,6457697815;0,6682671357;0,2509649505;0,1838852596;2,2591838513;7
Creagrutus.pila;Creagrutus.pila;0,4849655276;0,3409893993;0,2634099566;0,5187096269;4,0365178997;0,6096255462;0,1802773296;0,1708543486;2,1944652778;7
Creagrutus.runa;Creagrutus.runa;0,5279119774;0,3051165538;0,4225055154;0,5296885866;5,1954026273;0,6822516266;0,1695769388;0,1612535916;1,9853923294;6
Creagrutus.tuyuka;;;;;;;;;;;
Creagrutus.ungulus;Creagrutus.ungulus;0,4375263176;0,2973004895;0,4663419408;0,4744747306;3,5045013714;0,5765758081;0,1861901075;0,2125116322;2,2908259724;7
Creagrutus.vexillapinnus;Creagrutus.vexillapinnus;0,5417266107;0,3894439766;0,409894387;0,5125634431;3,0929911009;0,5102021076;0,2311548353;0,1838049843;2,22582312;5
Creagrutus.yanatili;;;;;;;;;;;
Creagrutus.zephyrus;Creagrutus.zephyrus;0,5562469526;0,4364131448;0,4450997237;0,5949345369;4,2412473423;0,6426050953;0,2475213548;0,1790655705;2,555269126;4
Crenicara.latruncularium;Crenicara.latruncularium;0,4701571605;0,4278202379;0,2298671199;0,624617213;3,0775072454;0,6885074992;0,4105118062;0,264155863;2,616521392;9
Crenicara.punctulatum;Crenicara.punctulatum;0,5324312992;0,3243370617;0,3081054058;0,4899145407;3,1209626744;0,6494072305;0,320964769;0,219381078;2,3813023666;10
Crenicichla.acutirostris;Crenicichla.acutirostris;0,4854503697;0,6152198507;0,6369785226;0,6669130402;5,4036050984;0,5976770496;0,500007542;0,1885876328;1,8438914754;12,767
Crenicichla.adspersa;Crenicichla.adspersa;0,4337274788;0,4045277322;0,5620545416;0,4794793621;4,5971578917;0,6272426126;0,4743125586;0,1706099258;1,6048301189;29
Crenicichla.alta;Crenicichla.alta;0,4217583383;0,5361168866;0,6586663911;0,5969717543;3,8684106307;0,547474576;0,509497744;0,1653433906;2,1517218433;16
Crenicichla.anthurus;Crenicichla.anthurus;0,5144359617;0,3972110768;0,8342146055;0,4902453463;3,966329014;0,4540485431;0,5129711241;0,1642119996;2,0443351391;22
Crenicichla.cametana;Crenicichla.cametana;0,5270651833;0,4767354857;0,7434418515;0,4943466814;5,3579465152;0,5741582375;0,4188859637;0,1510824112;1,8029322414;18
Crenicichla.cincta;Crenicichla.cincta;0,409;0,4516154094;0,714258427;0,5924124165;3,8726796792;0,5318958201;0,5131898211;0,1503348765;2,158612914;20
Crenicichla.cyanonotus;Crenicichla.cyanonotus;0,343356186;0,3926839916;0,3825746789;0,5471396511;2,7412730107;0,6637419015;0,3275273983;0,2484719256;2,5769359602;15
Crenicichla.heckeli;Crenicichla.heckeli;0,5162529175;0,5160540272;0,6580946319;0,6246309794;4,4300232516;0,6156438592;0,4926195888;0,1684869787;2,3963061323;5
Crenicichla.hemera;Crenicichla.hemera;0,5108387097;0,4474983248;0,6754516129;0,643107868;4,9794124337;0,5717060816;0,5992032999;0,151408755;1,5984797515;10
Crenicichla.hummelincki;Crenicichla.hummelincki;0,4623699977;0,4081167134;0,6747823875;0,4875051765;4,2079211954;0,4804312259;0,4400377458;0,1724308723;1,5118097993;11
Crenicichla.inpa;Crenicichla.inpa;0,4613095238;0,4460801633;0,5666719813;0,5717622581;4,4031850718;0,4924429788;0,5502100263;0,1623391097;1,3402145958;17
Crenicichla.isbrueckeri;Crenicichla.isbrueckeri;0,3672195147;0,5838187379;0,4240857324;0,6369625199;4,2128460513;0,5515218058;0,5266182332;0,170816283;1,3496241784;10
Crenicichla.johanna;Crenicichla.johanna;0,4859166667;0,3852076372;0,59185;0,5167839331;4,6682759316;0,5037698779;0,5119729308;0,1944528877;1,8694528302;28
Crenicichla.labrina;Crenicichla.labrina;0,3514993708;0,3887054202;0,3839449701;0,5517113389;2,698717304;0,6547271286;0,3297782733;0,2538676209;2,5980845986;16
Crenicichla.lenticulata;Crenicichla.lenticulata;0,4058454545;0,4595245976;0,4514454545;0,5953625188;3,9251700363;0,5127894347;0,4913641597;0,1830748219;1,6587064443;30
Crenicichla.lepidota;Crenicichla.lepidota;0,4832946429;0,3695895322;0,4884642857;0,5108876233;3,3226836014;0,5241409003;0,478292611;0,1926687427;1,5275164835;18
Crenicichla.lucius;Crenicichla.lucius;0,4694921052;0,45365252;0,6503969897;0,5336884005;4,6643157482;0,6227841005;0,4516230308;0,1669811797;1,8727745639;17
Crenicichla.lugubris;Crenicichla.lugubris;0,4474375;0,5857533196;0,552421875;0,6527779109;4,6689995686;0,6135851589;0,5376923446;0,1809075975;2,4350728155;24
Crenicichla.macrophthalma;Crenicichla.macrophthalma;0,3253368761;0,3939818936;0,3905558804;0,5533133759;2,7177369774;0,6777435166;0,328550661;0,262729873;2,7576900966;20
Crenicichla.marmorata;Crenicichla.marmorata;0,3185176471;0,5070613797;0,6168352941;0,5934953829;4,0824619772;0,7214149919;0,4478968631;0,1876703575;1,6657934749;28
Crenicichla.notophthalmus;Crenicichla.notophthalmus;0,7030043872;0,5633060015;0,6721552729;0,4912999962;6,3624167533;0,6931901297;0,429187358;0,156903734;2,9868533644;8
Crenicichla.pellegrini;Crenicichla.pellegrini;0,5580311721;0,3895957295;0,3867909226;0,5219203699;4,6039305022;0,4611675904;0,4610859882;0,1498483821;2,0869832849;16
Crenicichla.percna;Crenicichla.percna;0,3931776066;0,4746008909;0,8516531747;0,5652546828;4,7051849597;0,5673574413;0,4022078964;0,1526612744;2,309205807;22
Crenicichla.phaiospilus;Crenicichla.phaiospilus;0,4035017029;0,4567137452;0,6399769751;0,5934898767;4,60205066;0,6021142015;0,4543858129;0,1532012693;2,0033189724;24
Crenicichla.proteus;Crenicichla.proteus;0,4622028322;0,4605938028;0,5950614496;0,5353257668;3,3198798256;0,4869968189;0,4511133802;0,1929120911;1,6529322215;16
Crenicichla.pydanielae;Crenicichla.pydanielae;0,5330925177;0,5146917598;0,5196120774;0,5277979287;4,2716645595;0,5278877443;0,4720846201;0,1194966722;1,9709528997;18
Crenicichla.regani;Crenicichla.regani;0,5741257425;0,4627131675;0,5180500163;0,5260809803;4,4316349828;0,6805167272;0,4078371074;0,1897241929;2,6196345774;8
Crenicichla.reticulata;Crenicichla.reticulata;0,424407435;0,5575381657;0,7482197293;0,6361553193;4,1856452846;0,6370723006;0,4537011297;0,1909457744;1,7371321915;22
Crenicichla.rosemariae;Crenicichla.rosemariae;0,3979334317;0,4498426616;0,6303414123;0,5612382669;4,0507463489;0,5648315;0,487915871;0,1834888335;1,9422640609;24
Crenicichla.santosi;Crenicichla.santosi;0,4087670571;0,3689217181;0,413053979;0,5335402708;3,5213123318;0,5030281309;0,3963358704;0,162906317;1,2810786555;12
