"PBsim3k";"pvalue_PBsim3k"
"Int";0.24;0
"D_energ_s";-0.04;0.09
"D_water_s";0;0.91
"D_temp_s";0.03;0.14
"D_Habitat_size_s";0.01;0.39
"D_Habitat_Div_s";0.02;0.04
"D_Habitat_harsh_s";0.05;0
"D_Habitat_position_s";0.01;0.46
"D_Habitat_fragm_s";0;0.77
"D_Habitat_water_s";-0.02;0
"D_Habitat_SampEff_s";-0.04;0
"D_Marine_Incurs_s";-0.02;0.1
"D_CurrentLGM_s";0.02;0.08
"D_Pebas23mya_s";-0.02;0.06
"D_hydro_s";0.01;0.39
"D_spat_s";0.07;0
"r.squared";0.36;0
"F.test";174.88;0
