"Fun_Bsim";"pvalue_Fun_Bsim"
"Int";0.08;0
"D_energ_s";-0.03;0.16
"D_water_s";0.01;0.43
"D_temp_s";-0.01;0.59
"D_Habitat_size_s";0;0.53
"D_Habitat_Div_s";0;0.67
"D_Habitat_harsh_s";0.01;0.27
"D_Habitat_position_s";0;0.83
"D_Habitat_fragm_s";-0.01;0.28
"D_Habitat_water_s";-0.01;0.44
"D_Habitat_SampEff_s";-0.04;0
"D_Marine_Incurs_s";-0.02;0.17
"D_CurrentLGM_s";0.01;0.16
"D_Pebas23mya_s";-0.01;0.54
"D_hydro_s";0.01;0.04
"D_spat_s";0.01;0.18
"r.squared";0.08;0
"F.test";26.23;0
