BvNiv2;WaterColor;Area_km;Chut_hydrofall;Chut_grand;NetworkDensity;Elevation_min;Elevation_max;Elevation_range;Elevation_mean;Elevation_std;Elevation_basinSup1000m;Elevation_basinSup1500m;NbEspeceEnveloppe;DistanceEmbouchure_km;23ma_cd;23Ma;10Ma_cd;10Ma;NbSites1km_0417;NbSites_0417;Diversity0417;Endem0417
Jatapu;Clear;34492.78198;2;0;0.099730759;4;957;953;156.2931778;86.83443536;0;0;840;1264.887582;H;AffluentsNord;K2;AffluentsNord;27;34;164;0
Javary1;White;109202.3395;0;0;0.139855858;61;568;507;151.636511;35.80347044;0;0;872;3301.211917;G;PebasSystem;B2;AcreSystem;37;37;196;0
Jiparana;White;74737.98291;11;0;0.164959324;43;625;582;214.1879567;95.23177118;0;0;906;2403.687674;B;GroupAtlantik;G2;GroupAtlantik;294;372;564;3
Jurua1;White;188893.8248;0;0;0.16128947;37;664;627;204.9731768;81.21729351;0;0;1099;2506.584655;F;PebasSudEst3;B2;AcreSystem;185;321;511;2
Juruena1;Clear;132140.012;20;0;0.147655723;97;806;709;372.1290316;147.1829822;0;0;709;1552.973572;B;GroupAtlantik;F2;GroupeAtlantik3;150;270;212;11
Jutai;Black;78108.59227;0;0;0.176607407;42;237;195;122.8843499;34.81687484;0;0;976;2687.561959;F;PebasSudEst3;B2;AcreSystem;41;112;197;0
Luna;White;45791.91404;0;0;0.148084113;5;74;69;44.55003722;13.92792632;0;0;1007;1426.978522;B;GroupAtlantik;G2;GroupAtlantik;79;103;451;0
Madera1;White;9292.491115;0;0;0.136599676;4;57;53;33.76556474;12.95050437;0;0;953;1426.978522;B;GroupAtlantik;G2;GroupAtlantik;126;345;466;0
Madera2;White;31132.74421;1;0;0.176682997;14;248;234;70.13330969;21.88915228;0;0;946;1766.167501;B;GroupAtlantik;G2;GroupAtlantik;65;76;344;0
Madera3;White;19104.21496;0;0;0.147944341;26;101;75;62.56510532;13.84692288;0;0;915;2025.092286;B;GroupAtlantik;G2;GroupAtlantik;62;90;425;1
Madera4;White;28152.33366;8;0;0.157699267;43;829;786;142.2833084;61.77116935;0;0;923;2403.687674;F;PebasSudEst3;G2;GroupAtlantik;279;403;604;0
Madera6;White;5261.38365;7;0;0.137632617;91;350;259;151.4186641;26.62999766;0;0;746;2884.422736;A;PebasSudEst;A2;AcreSud;40;62;302;0
Madre_Dios;White;128842.8549;0;0;0.175102904;104;5875;5771;841.601012;1162.160263;21.12600087;16.0656833;828;2988.418281;A;PebasSudEst;A2;AcreSud;406;596;527;14
Mamore1;Clear;45674.35415;2;0;0.138891371;109;1081;972;176.8091264;70.81692416;0.025479146;0;772;2988.418281;A;PebasSudEst;A2;AcreSud;137;189;473;3
Mamore2;White;63019.02636;0;0;0.094932715;128;592;464;168.4944854;32.9382699;0;0;630;3239.432438;A;PebasSudEst;A2;AcreSud;141;211;384;5
Mantaro;White;34534.99091;0;2;0.134474356;467;5490;5023;3882.302206;789.4466958;99.23413993;97.9751578;18;5792.886108;D;PebasSud;E2;AcreOuest;30;30;18;0
Maranon1;White;38396.10389;0;0;0.114596913;87;254;167;135.5835481;23.05388667;0;0;619;3995.873957;G;PebasSystem;J2;AtlantikNord4;53;59;228;2
Maranon3;White;35923.1031;0;0;0.153961523;110;2111;2001;371.2557073;351.7198537;8.786770229;1.273724196;383;4352.070946;G;PebasSystem;B2;AcreSystem;46;64;272;2
Maranon5;White;81150.10154;5;0;0.182475191;165;6247;6082;2345.680468;1218.631294;82.28126125;70.38723008;197;4664.067901;K;PebasOuest;M2;AcreNordOuest;113;154;215;8
Marmelos;White;27455.25245;1;0;0.186072082;29;196;167;84.28327624;16.67913814;0;0;899;2025.092286;B;GroupAtlantik;G2;GroupAtlantik;44;49;186;0
Maues;Black;26328.62134;1;0;0.226510988;5;301;296;111.3404496;48.54480558;0;0;841;1272.960079;B;GroupAtlantik;F2;GroupeAtlantik3;41;70;178;1
Napo1;White;22577.87847;0;0;0.114715953;78;232;154;146.1610169;26.12593528;0;0;690;3785.014556;G;PebasSystem;J2;AtlantikNord4;24;29;205;0
Napo2;White;53025.31411;1;0;0.132895748;122;5665;5543;863.5110219;1097.916846;25.22306456;20.34651689;579;4117.1398;G;PebasSystem;J2;AtlantikNord4;349;502;495;4
Negro1;Black;91383.36763;3;0;0.144761686;7;392;385;69.014659;34.76263173;0;0;1079;1591.603509;B;GroupAtlantik;H2;AtlantikNord1;379;741;786;5
Negro2;Black;36699.80518;0;0;0.153539401;12;76;64;48.42793957;13.82655067;0;0;879;1919.153465;E;PebasNordEst;H2;AtlantikNord1;149;331;380;2
Negro3;Black;135693.2674;4;0;0.123660152;21;2498;2477;111.3882295;149.7170873;0.683128649;0.201441115;903;2196.111868;L;PebasNordEst2;N2;AtlantikNord2;276;438;602;13
Negro5;Black;126849.8958;17;0;0.130265841;69;2408;2339;190.9604753;179.4908152;0.579556682;0.209680205;605;2805.821472;L;PebasNordEst2;N2;AtlantikNord2;259;354;463;3
Nhamunda;Clear;28608.56844;0;0;0.170028621;1;375;374;106.3634353;68.3420675;0;0;813;859.3573909;H;AffluentsNord;K2;AffluentsNord;67;87;212;0
Orthon;White;33575.78668;0;0;0.177107281;123;517;394;279.269802;76.14625321;0;0;730;3116.085958;A;PebasSudEst;A2;AcreSud;82;182;351;2
Pachitea;White;28907.34515;1;0;0.143092798;150;4712;4562;1039.519236;989.0637482;39.48161157;22.00979705;258;5041.484948;G;PebasSystem;E2;AcreOuest;139;210;204;1
Paru_Este;Clear;39288.13819;2;0;0.143258357;0;809;811;313.6490095;122.6408673;0;0;244;228.9037942;H;AffluentsNord;K2;AffluentsNord;4;4;7;0
Pastaza;White;42270.26728;0;0;0.171483989;125;6074;5949;1090.959751;1348.39861;28.93761727;25.34298331;385;4462.536976;G;PebasSystem;B2;AcreSystem;135;205;322;1
Purus1;White;61568.50136;0;0;0.157560388;7;96;89;60.16737794;19.15656188;0;0;1023;1839.863616;F;PebasSudEst3;O2;GroupAtlantik5;146;303;582;2
Purus2;White;26027.23504;0;0;0.160366762;38;142;104;82.28559802;13.668436;0;0;907;2712.321399;F;PebasSudEst3;O2;GroupAtlantik5;28;40;153;0
