"","id","BvNiv2","roqst_mn1","roqst_std1","roqst_cv1","roqst_mn2","roqst_std2","roqst_cv2","roqst_mn3","roqst_std3","roqst_cv3","roqst_mn4","roqst_std4","roqst_cv4","roqst_mn5","roqst_std5","roqst_cv5","roqst_mn6","roqst_std6","roqst_cv6","roqst_mn7","roqst_std7","roqst_cv7","roqst_mn8","roqst_std8","roqst_cv8","roqst_mn9","roqst_std9","roqst_cv9","roqst_mn10","roqst_std10","roqst_cv10","roqst_mn11","roqst_std11","roqst_cv11","roqst_mn12","roqst_std12","roqst_cv12"
"22",22,"Abuna",99.627272866,8.8396923453,8.87276354255878,131.054545316,10.8505855916,8.27944239967943,147.336363359,9.3748478506,6.36288804533422,103.545455933,6.44689748876,6.22615201282374,54.1999997226,3.87087027996,7.1418271213495,22.6545453505,2.05043844153,9.05089203869079,12.5727272034,1.84000540202,14.6348948183845,9.86363645033,1.06367508552,10.7838026155598,14.2454547015,2.06589803272,14.5021557823807,21.5545451424,3.54769182472,16.4591356546018,36.6272726926,6.89084930101,18.8134381689909,59.254545732,7.39193191131,12.4748773617178
"45",45,"Amazon1",70.5,11.5210677449,16.3419400636879,133.175003052,4.13906320044,3.10798806501536,225.775001526,15.0544657498,6.66790638823951,258.825000763,12.4343025721,4.80413504701804,253.249996185,25.2620729391,9.97515234734534,160.225002289,12.7069611177,7.93069804098382,99.7000007629,7.74983991888,7.77315933759134,46.7500009537,4.53348628772,9.69729667430349,22.8750004768,0.617960590063,2.70146700407609,16.9250001907,1.9778460434,11.6859439947705,15.75,2.57536403527,16.351517684254,24.8250002861,5.59704189893,22.5459892625415
"46",46,"Amazon2",34.8692312974,7.27454889061,20.8623724124151,65.9384613037,12.1956202126,18.4954576911179,125.738462008,26.8925371639,21.3876778309798,184.453845684,27.4841118688,14.9002650320909,212.015384381,22.8870437438,10.7949919816531,135.400001526,19.0319164648,14.0560681316871,75.6461533767,16.4525237005,21.7493196495667,33.1692308279,7.43364331109,22.411262261883,17.3384613624,3.66218471619,21.1217399263107,11.900000132,1.8929017638,15.9067373344799,11.6384616265,2.31667483258,19.9053354895727,19.1307693628,2.33843621914,12.2234300920857
"47",47,"Amazon5",49.7400001526,5.42018441875,10.8970333778068,105.059999084,17.2318991546,16.4019601226365,162.580001831,19.2915934061,11.8659079768946,186.079998779,12.7869328499,6.87173953880263,180.319998169,16.855787833,9.34770852049498,102.23999939,6.99016547841,6.83701635379088,55.9199996948,10.7242520659,19.1778471466931,26.8800003052,5.8115062081,21.6201865406071,17.2599998474,2.89316423681,16.7622494924055,14.8000001907,1.95038471242,13.1782749141151,15.4800003052,2.07016932878,13.3731866147612,33.0200000763,4.28644372395,12.981355887478
"81",81,"Amazon8",63.7666670481,7.7990748441,12.230645265209,116.13333257,8.72499716588,7.51291379726915,172.333333333,16.939069227,9.82924713367472,176.483334859,8.19723661324,4.6447652520784,149.58333079,9.75489989964,6.5213816593875,90.5333340963,6.49067762722,7.16937876198825,52.116666158,6.01315628668,11.5378759425059,26.25,2.84531776893,10.8393057864,16.9333335559,2.9089899078,17.1790740328648,13.4499999682,4.2703437027,31.7497673813861,14.3833333651,6.83920479791,47.5495118155627,17.3833333651,7.78126294259,44.7627781114306
"82",82,"Amazon9",79.0999984741,0,0,124.699996948,0,0,183.100006104,0,0,181,0,0,140,0,0,77.6999969482,0,0,42.2999992371,0,0,21.3999996185,0,0,15.1999998093,0,0,11.6999998093,0,0,12.6999998093,0,0,13.8999996185,0,0
"51",51,"Andira1",65.1200004578,11.4063840253,17.5159458616585,145.710002136,21.7201974941,14.906456094776,199.28999939,25.5911874199,12.8411799378951,187.78999939,8.37537490197,4.45996854421205,146.18999939,8.52953059525,5.83455135839713,86.8,15.136645021,17.4385311301843,49.2799991608,12.2982759849,24.9559176021308,27.770000267,5.79552432403,20.8697308905575,18.2600001335,2.67477102594,14.648253047013,15.2300000191,2.15408898297,14.1437227857423,16.7700000763,3.42579928384,20.4281411344862,29.1399999619,9.58146088239,32.8807855007467
"29",29,"Apaporis",86.2666667302,47.1576201359,54.6649382934732,78.5166653527,39.620409818,50.4611468661125,125.011109458,56.8914049649,45.5090793222772,182.688888974,44.9042305147,24.5796177134181,235.350001865,33.9042330657,14.4058775428215,242.149998983,13.094536565,5.40761371876747,232.422221714,17.7039720427,7.61715980173577,186.466667175,13.6858816409,7.33958612991979,135.505553775,8.63934572883,6.37563958682844,140.361110263,7.34522727312,5.23309288403103,118.461112128,9.39527882172,7.9311080682479,98.8222226037,31.2725924042,31.6453036374322
"97",97,"Apurimac1",23.2250000238,16.4251593518,70.7218916467952,37.6200000763,17.3679182021,46.1667149571366,41.8099999428,19.6644323028,47.0328446058426,19.1499999285,11.271889818,58.8610436557997,9.55500000715,6.87026033298,71.9022535618942,5.90999999046,4.35153982145,73.6301155410205,4.72999995947,4.03808115271,85.3716952919905,3.65499998927,2.88971884561,79.0620753513915,4.89500002265,5.04989867435,103.164425964929,7.02500012517,8.03802713074,114.42031298961,7.27000005245,7.14871332525,98.3316818937418,16.2350000381,13.0513321566,80.3900962486688
"91",91,"Arinos",138.19047728,28.5951206027,20.6925405900154,187.290476118,43.6323262661,23.2966070515033,247.142857143,70.8626555505,28.6727508007638,112.342856998,25.0343864705,22.2839147405212,40.8380952563,6.72447355255,16.4661782346781,15.1904760542,1.83922983168,12.1077826996177,8.70952383677,0.813519553476,9.3405743955998,9.347619034,1.32255853655,14.1486140132527,15.1619046302,3.67818228806,24.2593683166538,30.4952378954,8.704759137,28.5446506987671,58.9619051615,15.5405607994,26.3569515890532,107.771429153,23.7862928074,22.071056303458
