"","BvNiv2","MAX12","STD12","MAX1","STD1","MAX2","STD2","MIN7","STD7","MIN8","STD8","MIN9","STD9"
"83","Solimoes1",317,1.85436157837,309,1.04377120828,310,1.13552828902,218,2.82344963177,221,3.22544693543,222,3.59885140868
"84","Solimoes2",313,2.51091942738,312,3.1547829533,312,2.98864278046,210,2.45256830278,213,2.28123325903,215,2.29385847788
"85","Solimoes3",315,1.78299929515,313,2.15091182508,313,2.18008642449,211,2.19834869216,214,1.94549659433,216,1.68970635903
"86","Solimoes4",316,3.26315725131,313,3.97400137611,314,4.03061164006,200,5.06416651373,205,4.80351821531,208,4.12584779177
"87","Solimoes7",311,1.59886192347,308,2.17963457239,309,2.40303138059,187,4.25093985855,192,3.9008060505,202,2.27359665501
"88","Solimoes8",318,2.22330187939,311,1.49138915042,315,2.03125334484,198,1.48928769538,202,1.28553480054,204,1.43939102156
"89","Solimoes9",321,2.09769874313,316,1.48085246296,318,1.98324565441,198,2.61339966803,199,2.34719550871,197,4.65434670082
"90","Juruena1",320,9.59938529756,315,8.51378858989,312,9.63625097996,110,16.4329188849,121,14.7397903562,139,13.9356591899
"91","Arinos",323,4.5506445109,316,5.02886983309,316,4.80057878527,134,6.95493972959,146,6.00755694778,166,4.28006440672
"92","Aripuana",316,6.28853561295,307,5.44066640523,305,5.92632031715,121,19.5297491745,136,16.8586940564,154,14.2677050937
"93","Roosevelt",313,8.82734937535,305,8.25622836292,305,9.25475622433,112,16.402333496,122,16.0821926055,139,14.7033044009
"94","Grande",336,44.6351597276,331,47.1157463061,329,49.0794874041,-115,66.867388368,-104,63.538706097,-80,62.2451309883
"95","Chapare",325,25.9361387848,321,26.8104981688,318,26.4188565178,-33,32.4942461377,-21,32.59333801,0,34.1108637578
"96","Unini",319,1.48776105998,316,1.62640612446,317,1.47126891897,212,1.97631500564,214,1.72724613426,216,2.02005662806
"97","Apurimac1",306,46.300719268,311,48.7364737155,306,48.5457691482,-163,62.4195890134,-163,63.0611904554,-126,54.9502947975
