"","BvNiv2","MEAN","STD","cv","MEAN00","STD00","cv00","MEAN01","STD01","cv01","MEAN02","STD02","cv02","MEAN03","STD03","cv03","MEAN04","STD04","cv04","MEAN05","STD05","cv05","MEAN06","STD06","cv06"
"74","Negro1",2448.76052815,160.442810598,6.55200084914845,2781.44298781,335.348466971,12.0566363733035,2486.98363877,267.568748005,10.7587659136082,2312.83572798,280.581441481,12.1314902777836,1981.4635776,194.094458148,9.79550976067359,2566.31112094,142.892592089,5.56801515307546,2388.45133523,118.159787313,4.94712978113166,2623.83532156,278.324249623,10.6075349827032
"75","Negro2",2588.89054143,316.746432703,12.2348329384386,3104.84360734,478.083284694,15.3979828022187,2701.84437915,331.747156706,12.2785442146882,2797.89763136,361.412461734,12.9172868114665,1879.62658109,210.634539916,11.2061907420916,2627.61461567,342.18972267,13.0228276486713,2375.57342365,255.5050929,10.7555123473062,2634.83351818,300.570712476,11.4075789002266
"76","Uaupes",2878.03031786,133.417192826,4.63571186161806,3035.52669854,163.683298776,5.39225363607333,2775.71289387,296.930153602,10.6974375576722,2983.51499017,226.610446981,7.59541841511203,3281.39072486,240.117639471,7.31755708492303,2991.16872646,86.1531828382,2.88025152429836,2308.17818213,90.7429716689,3.93136770685363,2770.7200336,91.7357628015,3.31089975490261
"77","Negro3",2845.52241286,105.026821199,3.69095041122656,3327.60747073,173.304274039,5.20807443676586,2851.63950828,143.2199422,5.02237192969685,2881.12902949,189.987189596,6.59419233402505,2541.25186292,333.36174016,13.1180126229973,2985.29135357,165.302532982,5.53723283271232,2530.71558518,169.040269571,6.67954433761378,2801.02208666,114.598943475,4.09132594922342
"78","Negro5",2689.66576689,190.580643236,7.08566267162496,2945.35212702,304.430394172,10.3359592009126,2519.75084875,310.494457359,12.3224269380852,2776.40067633,235.637067751,8.48714199502638,2717.99274342,260.202232236,9.57332328667634,2783.69283404,186.71057543,6.70729805914057,2432.73763597,188.438031719,7.74592495848261,2651.73349985,191.098738029,7.20655895623787
"79","Uatuma1",2283.28996073,99.9737157831,4.37849408102057,2368.66905755,132.030404201,5.57403339145925,2101.33870511,131.009176333,6.23455780900119,1781.64583571,142.512418648,7.9989196388859,2254.87864516,215.190689208,9.54333793838074,2537.94579671,118.149090096,4.65530391741067,2255.73990004,99.4211605236,4.40747448417422,2682.81177063,120.003526956,4.47305056097245
"80","Trombetas1",1974.40639814,193.981638333,9.82480802917482,2108.03638277,233.589311675,11.0808956422308,2054.76599884,211.734778316,10.3045689112791,1709.41748317,342.964585599,20.0632431208668,1981.39779641,262.614518007,13.2540027289229,2321.18162866,214.565663792,9.24381190781124,1735.69228767,265.290449224,15.2844171232752,1910.35320688,192.460619742,10.0746091900109
"81","Amazon8",2511.74470171,124.201259242,4.94482019440286,2644.94450434,129.927594531,4.91229945724026,2296.3594603,125.877791132,5.4816239925937,1918.99002774,116.253195187,6.05804061024286,2636.90586614,170.69913437,6.47346333298866,2765.08118264,135.770234466,4.91017172726811,2488.30308808,141.115868081,5.67116878795848,2831.628793,128.535110789,4.5392641544947
"82","Amazon9",2556.41978237,87.6241269964,3.42761105201453,2776.68532599,107.612446547,3.8755722710002,2339.54212201,88.7166020315,3.7920497860188,1928.59736367,94.470327923,4.89839557507374,2636.79391819,117.530452758,4.4573241749085,2779.02118986,94.6162178071,3.40465981879996,2574.24946134,90.2235536574,3.50484888944815,2860.0491924,92.2056952141,3.2239199052631
"83","Solimoes1",2609.06839621,116.951671659,4.48250692963385,3134.68332225,215.712950097,6.88149098079121,2806.9889942,231.15433268,8.23495685795803,2314.00920315,224.181324041,9.68800485909165,2128.35028234,161.873769451,7.60559813833976,2692.92758705,115.90340287,4.30399255543918,2422.32805923,92.5167467407,3.81933183608949,2764.1913368,112.496532134,4.06978093868976
"84","Solimoes2",2761.36166965,94.032899064,3.40530905811837,3382.06726897,152.149175392,4.49870340510219,3201.94194528,147.32808329,4.60121032197905,2663.62908798,188.975470003,7.09466159743405,1971.06254526,115.46365233,5.85793954675189,2809.95628854,107.617227953,3.82985416505948,2493.67561117,133.893565588,5.36932570492514,2807.19890809,93.169820749,3.31896042280781
"85","Solimoes3",2832.95782764,79.0058736426,2.78881220439543,3307.40552019,168.117173218,5.08305293051401,3335.10244767,154.85080158,4.6430598162939,2719.78692137,178.038013729,6.54602801161053,2054.36852505,125.581036152,6.1128777344826,2934.68549074,123.331484074,4.20254519481408,2582.25204451,85.5440418962,3.31276887080295,2897.10389293,109.820390309,3.79069561768227
"86","Solimoes4",2830.33438573,93.2944851517,3.29623544207613,3073.28241337,159.347198646,5.18491883312696,3355.33438943,155.313664253,4.62885799824513,2559.27901482,163.740832051,6.39792813143182,2574.34587883,334.322954265,12.9867146840791,3087.55236724,151.289400155,4.89997843470553,2433.19873232,138.341102731,5.68556529696589,2729.34791334,175.3411327,6.42428661597153
"87","Solimoes7",2737.00563697,102.06569966,3.72910082030345,3525.035922,193.080911007,5.47741683430709,3223.69944768,152.566976548,4.73266751519897,2533.27705759,175.049553116,6.91000428048447,3071.29772189,142.56376756,4.64180878798913,2359.79248337,206.326880943,8.74343326360402,1758.86671805,144.947863796,8.24098053073056,2687.07010241,345.080796881,12.842269971725
"88","Solimoes8",2747.0381912,120.187060792,4.37515070511263,3295.12462713,194.14737169,5.89195838274254,3057.35279715,138.114979047,4.5174694649485,2781.43777838,132.112896999,4.74980594661898,3040.48484521,142.201589553,4.67693794879541,2478.1436181,131.308583081,5.29866720080068,1758.19901868,91.4941481868,5.20385617411451,2818.52467437,133.454805775,4.73491706453945
"89","Solimoes9",2451.57166475,187.283991483,7.63934394314752,2953.44966836,199.044729746,6.73939806316476,2836.50633022,207.474619643,7.31444232761181,2328.33865413,232.374378793,9.98026547301506,2513.64966579,290.680473527,11.5640806068989,2276.80848912,158.64267879,6.96776560470909,1632.10016552,95.8719476577,5.87414606548701,2620.1486642,174.580066666,6.6629832517272
"90","Juruena1",1693.50686007,522.357161403,30.8447030076636,2206.47760835,532.04199621,24.112730362483,1764.52075573,711.580847035,40.3271451879642,1753.86601449,669.433521362,38.1690229374028,2035.55971575,660.331594616,32.4398046152481,1464.59956459,593.088957132,40.4949565376956,1107.46532576,452.232835147,40.8349430567187,1522.05903615,345.895462746,22.7254958270825
"91","Arinos",1203.46739339,159.523008388,13.2552829652198,1779.81831148,242.217417263,13.6091091827,1057.3779446,230.911590359,21.8381319128377,868.474227516,184.152349937,21.2041237497295,1591.36830161,406.826228207,25.564555219267,1076.13285849,166.778904906,15.4979846205997,777.748992055,144.812701914,18.6194650707769,1273.35112082,158.419259699,12.441129324721
"92","Aripuana",2265.09356731,479.708454141,21.178306320948,2728.74522449,473.649931204,17.3577924004439,2630.9648322,499.735345494,18.9943757277867,2385.59717428,393.783978225,16.506725547403,2754.14495975,247.753039482,8.99564268049599,2174.23424638,700.945756476,32.238741416342,1460.20415012,760.035960843,52.0499795032455,1721.76437649,473.128614592,27.4792893297353
"93","Roosevelt",2153.79647526,249.209307815,11.5706990273961,2451.413469,249.740073449,10.187594896053,2514.1613534,252.898652697,10.05896667511,2465.27329256,218.821058632,8.87613796378619,2705.4972388,204.214571931,7.54813455369031,2116.45329951,417.466324098,19.7248067885387,1203.44811401,390.681427637,32.4635040837127,1620.32855483,255.709592399,15.7813421010672
"94","Grande",1948.88697663,890.426102603,45.6889554540878,2025.09938045,922.898562424,45.5730010750841,1888.04353762,884.819748776,46.8643720944789,1856.60646914,889.03924843,47.8851745486922,1883.60524387,893.882602962,47.4559415180569,1756.35911276,861.733169495,49.0636091010365,2054.27465653,926.707993966,45.1112021958816,2178.22044193,935.284452506,42.9380073064275
"95","Chapare",3153.52454849,757.62509307,24.0247089065082,3372.42294546,736.433121341,21.8369146827327,3095.53564848,783.85170992,25.3220055890778,3041.12997078,829.340631408,27.2708052393857,2960.19246535,788.782652167,26.6463299734714,2998.99950678,899.729475636,30.0009877828233,3300.23110925,696.918383865,21.1172599976909,3306.16015625,589.921717495,17.8431077024447
"96","Unini",2735.3012479,99.3017408252,3.63037676019919,3428.02583332,169.752812136,4.95191169465595,2983.07878634,139.301805188,4.66973268778168,2889.31312542,154.997447981,5.3645084922552,1881.35311542,97.205225846,5.16677199241779,2804.18611242,117.105244484,4.1760867427925,2398.92222344,86.3717852536,3.60044124855973,2762.22952232,53.2819347555,1.92894668328461
"97","Apurimac1",1336.48532935,870.016666247,65.097360003954,1253.51142086,881.31609031,70.3077830519767,1265.09002466,871.810225547,68.9129001535921,1310.72129553,807.599542094,61.6148943980834,1410.3807431,924.079025751,65.5198272006951,1388.02230741,867.570675819,62.5040873757898,1383.1225307,874.957342285,63.2595683219897,1344.54898416,876.956611477,65.2231061722808
