"","id","BvNiv2","rounhcmp_mn1","rounhcmp_std1","rounhcmp_cv1","rounhcmp_mn2","rounhcmp_std2","rounhcmp_cv2","rounhcmp_mn3","rounhcmp_std3","rounhcmp_cv3","rounhcmp_mn4","rounhcmp_std4","rounhcmp_cv4","rounhcmp_mn5","rounhcmp_std5","rounhcmp_cv5","rounhcmp_mn6","rounhcmp_std6","rounhcmp_cv6","rounhcmp_mn7","rounhcmp_std7","rounhcmp_cv7","rounhcmp_mn8","rounhcmp_std8","rounhcmp_cv8","rounhcmp_mn9","rounhcmp_std9","rounhcmp_cv9","rounhcmp_mn10","rounhcmp_std10","rounhcmp_cv10","rounhcmp_mn11","rounhcmp_std11","rounhcmp_cv11","rounhcmp_mn12","rounhcmp_std12","rounhcmp_cv12","rounhcmp_mn13","rounhcmp_std13","rounhcmp_cv13"
"22",22,"Abuna",144.803398826,16.8749162189,11.6536741234765,139.31493447,11.3815616613,8.16966372241369,131.756107677,16.5150790452,12.5345832814724,82.545770125,8.82115578522,10.6863813516574,44.2256372625,3.68290317519,8.32752991964872,24.7715863315,2.2505733995,9.08530188330382,14.9615572149,1.35930428541,9.08531288478641,9.03648818623,0.820992193086,9.08530145966489,5.45786307075,0.495863932357,9.08531280336537,3.29644294219,0.299492131541,9.08531216202491,2.59873017398,1.86093963702,71.6095751553128,62.3292506825,14.9432111407,23.9746362696055,665.097717285,57.1493033898,8.59261758153216
"45",45,"Amazon1",14.4488149881,11.9331462597,82.589100002513,120.990884781,42.5970048269,35.20678843204,202.363779068,73.1974720351,36.1712320120804,210.98077774,71.0427530265,33.6726187984996,169.422298431,45.0354459664,26.581770158632,108.332155228,25.4951055327,23.5341994987933,67.1097259521,16.2216952262,24.1718990743284,36.4368824959,8.95073865552,24.5650506914997,21.6697952747,5.38582527629,24.8540662614292,13.0881342888,3.25293479776,24.8540756534234,7.90497684479,1.96470859263,24.8540714439271,4.77445095778,1.1866447482,24.8540567008308,977.522735596,288.536069816,29.5170699676953
"46",46,"Amazon2",24.0689768516,21.2180273731,88.1550865411611,87.6308849775,39.6841520726,45.2855772057868,169.036757543,56.0969544565,33.1862461584605,178.750859187,58.6201731068,32.7943448067428,161.044436528,52.6565563933,32.6969111932934,96.6051378984,31.0960955112,32.1888630229004,54.3158581807,17.8929121674,32.9423353818202,30.3425382834,9.8216170621,32.3691346134785,18.3212802594,5.93179659697,32.3765398104568,11.0656979084,3.5826900705,32.3765396467255,6.68346546246,2.16387490874,32.3765405970025,4.36310404998,1.6206646662,37.1447631694098,842.229000385,279.841718396,33.2263218516673
"47",47,"Amazon5",139.162496948,65.6475241052,47.1732870169253,240.216864014,43.9179553294,18.2826278703066,338.517944336,73.3394968125,21.6648771622298,351.214700317,68.6014503657,19.5326250022512,272.963519287,57.6774347786,21.1300890790306,167.450500488,33.5762886057,20.051471036425,88.0623039246,20.6799860952,23.4833580017466,51.54972229,11.029569977,21.3959833089918,31.1350269318,6.66164158565,21.3959718109191,18.8049501419,4.02350376095,21.3959820716838,11.3578226089,2.43011632662,21.3959700754241,30.3789003372,21.3052742084,70.1318150819007,1740.8144043,337.800430782,19.4047355046923
"81",81,"Amazon8",171.025801341,55.4313977946,32.4111317473543,237.623929342,17.2233018291,7.24813442686211,311.171284993,26.6726105026,8.5716811894131,326.652053833,18.9840500559,5.81170387056729,247.202931722,14.2530517884,5.76572926911269,131.755349477,13.7235122151,10.4159051374955,71.4415664673,6.47203848021,9.05920572608435,42.8962186178,3.49375597933,8.14467123654636,25.9084768295,2.11015938291,8.1446678505906,15.6482165655,1.27449619683,8.14467381311627,14.0533108711,10.1561457099,72.2687045284514,43.3079258601,35.3730092874,81.6779113404493,1638.68699137,110.87680717,6.76619804477139
"82",82,"Amazon9",268.974090576,0,0,239.487503052,0,0,309.273712158,0,0,320.452606201,0,0,234.6434021,0,0,102.290100098,0,0,61.781211853,0,0,37.3146514893,0,0,22.5373191833,0,0,13.6120996475,0,0,47.5426483154,0,0,117.596000671,0,0,1775.50500488,0,0
"51",51,"Andira1",159.597509575,79.4688459051,49.7932869483499,265.911222839,20.1408861439,7.57428961774006,361.925299072,13.9300125354,3.84886399793478,365.814898682,13.5356940775,3.70014838823349,273.26806488,17.5401755172,6.41867007947028,153.193209839,21.5949109472,14.0965196629116,83.3979606628,10.4151994256,12.4885540879248,49.3539089203,5.2553274312,10.6482496445958,29.808798027,3.17411570546,10.6482512397346,18.0039311409,1.91710079265,10.6482344197311,15.7995521545,10.6546889617,67.4366517323426,31.3646214485,39.0595908096,124.533914345929,1807.43912354,95.0085717059,5.25652955435748
"29",29,"Apaporis",197.215010749,83.4269641304,42.3025426987297,44.3526862195,58.7490476792,132.458826481113,83.8863205976,94.3613418776,112.487162633164,171.049724184,156.639923355,91.5756655570522,244.617371029,120.880184041,49.4160261523984,256.310057322,90.9407932413,35.4807744149703,246.230691486,131.098760821,53.2422501962774,207.914264679,92.0647985827,44.2801741981674,223.951761034,54.7869452389,24.4637260211508,222.053766039,49.6573924102,22.3627787521868,184.151117961,36.3313775602,19.7291105058045,135.737078349,49.8863884572,36.7522191165296,2217.46976047,870.48604,39.2558246122598
"97",97,"Apurimac1",22.4551916779,28.9492970698,128.920284827902,21.9831213593,25.2738236447,114.969222211967,19.9327451877,25.3432479178,127.143791179545,9.93851791248,14.7490883377,148.403297831554,5.20831824206,7.08351672918,136.00391527493,3.14338072073,4.2697770478,135.833913456351,1.89854065916,2.5788625489,135.83393837038,1.14668145319,1.55758193901,135.833882607667,0.692573409807,0.940749404868,135.833890176373,2.15531969741,3.68183424226,170.825434699287,3.62109311225,6.68338956036,184.568287894901,9.36972263945,12.7949308729,136.556132611958,101.545213294,132.784203794,130.763626848225
"91",91,"Arinos",125.958272843,50.6512783133,40.2127444034057,102.50036276,30.2058436196,29.4690114320138,84.9223496573,24.4866317027,28.8341429570833,86.2666616894,26.5645474324,30.7935266210308,35.2509472257,10.4955430567,29.773790160873,20.9254048665,6.22703251963,29.7582415220028,12.638537475,3.76100634716,29.758240259995,7.63343054908,2.27157444089,29.7582381379467,4.61044366019,1.37198680606,29.758238190974,2.78461857069,0.828653643946,29.7582459827045,7.81171199537,10.422669997,133.42363368206,38.8294989027,24.016226164,61.8504663791323,530.132258824,178.429433317,33.6575317474195
