"basin";"variable";"value"
"Uatuma1";"Acanthodoras_spinosissimus";1
"Uaupes";"Acanthodoras_spinosissimus";1
"Ucayali1";"Acanthodoras_spinosissimus";1
"Amazon2";"Acanthopoma_annectens";1
"Amazon5";"Acanthopoma_annectens";1
"Amazon9";"Acanthopoma_annectens";1
"Jari";"Acanthopoma_annectens";1
"Jurua1";"Acanthopoma_annectens";1
"Madera2";"Acanthopoma_annectens";1
"Madera4";"Acanthopoma_annectens";1
"Madre_Dios";"Acanthopoma_annectens";1
"Mamore1";"Acanthopoma_annectens";1
"Negro1";"Acanthopoma_annectens";1
"Negro2";"Acanthopoma_annectens";1
"Pachitea";"Acanthopoma_annectens";1
"Pastaza";"Acanthopoma_annectens";1
"Purus1";"Acanthopoma_annectens";1
"Solimoes1";"Acanthopoma_annectens";1
"Solimoes2";"Acanthopoma_annectens";1
"Solimoes4";"Acanthopoma_annectens";1
"Solimoes7";"Acanthopoma_annectens";1
"Solimoes9";"Acanthopoma_annectens";1
"Tefe";"Acanthopoma_annectens";1
"Urubamba";"Acanthopoma_annectens";1
"Amazon2";"Acarichthys_heckelii";1
"Amazon5";"Acarichthys_heckelii";1
"Amazon8";"Acarichthys_heckelii";1
"Amazon9";"Acarichthys_heckelii";1
"Andira1";"Acarichthys_heckelii";1
"Aripuana";"Acarichthys_heckelii";1
"Branco";"Acarichthys_heckelii";1
"Canuma";"Acarichthys_heckelii";1
"Coari";"Acarichthys_heckelii";1
"Curua";"Acarichthys_heckelii";1
"Guapore";"Acarichthys_heckelii";1
"Japura1";"Acarichthys_heckelii";1
"Jatapu";"Acarichthys_heckelii";1
"Javary1";"Acarichthys_heckelii";1
"Jurua1";"Acarichthys_heckelii";1
"Jutai";"Acarichthys_heckelii";1
"Luna";"Acarichthys_heckelii";1
"Madera1";"Acarichthys_heckelii";1
"Madera2";"Acarichthys_heckelii";1
"Madera4";"Acarichthys_heckelii";1
"Mamore1";"Acarichthys_heckelii";1
"Negro1";"Acarichthys_heckelii";1
"Negro2";"Acarichthys_heckelii";1
"Negro3";"Acarichthys_heckelii";1
"Nhamunda";"Acarichthys_heckelii";1
"Purus1";"Acarichthys_heckelii";1
"Purus2";"Acarichthys_heckelii";1
"Putumayo";"Acarichthys_heckelii";1
"Solimoes1";"Acarichthys_heckelii";1
"Solimoes3";"Acarichthys_heckelii";1
"Solimoes4";"Acarichthys_heckelii";1
"Solimoes7";"Acarichthys_heckelii";1
"Solimoes8";"Acarichthys_heckelii";1
"Solimoes9";"Acarichthys_heckelii";1
"Tapajos1";"Acarichthys_heckelii";1
"Tefe";"Acarichthys_heckelii";1
"Trombetas1";"Acarichthys_heckelii";1
"Uatuma1";"Acarichthys_heckelii";1
"Unini";"Acarichthys_heckelii";1
"Xingu1";"Acarichthys_heckelii";1
"Xingu3";"Acarichthys_heckelii";1
"Abuna";"Acaronia_nassa";1
"Amazon1";"Acaronia_nassa";1
"Amazon2";"Acaronia_nassa";1
"Amazon5";"Acaronia_nassa";1
"Amazon8";"Acaronia_nassa";1
"Amazon9";"Acaronia_nassa";1
"Andira1";"Acaronia_nassa";1
"Aripuana";"Acaronia_nassa";1
"Beni";"Acaronia_nassa";1
"Blanco_Baures";"Acaronia_nassa";1
"Branco";"Acaronia_nassa";1
"Candeias";"Acaronia_nassa";1
"Canuma";"Acaronia_nassa";1
"Caqueta1";"Acaronia_nassa";1
"Coari";"Acaronia_nassa";1
"Curaray";"Acaronia_nassa";1
"Curua_Una";"Acaronia_nassa";1
"Demini";"Acaronia_nassa";1
"Guapore";"Acaronia_nassa";1
"Itonamas";"Acaronia_nassa";1
"Japura1";"Acaronia_nassa";1
"Jari";"Acaronia_nassa";1
"Jatapu";"Acaronia_nassa";1
"Javary1";"Acaronia_nassa";1
"Jiparana";"Acaronia_nassa";1
"Jurua1";"Acaronia_nassa";1
"Jutai";"Acaronia_nassa";1
"Luna";"Acaronia_nassa";1
"Madera1";"Acaronia_nassa";1
"Madera2";"Acaronia_nassa";1
"Madera3";"Acaronia_nassa";1
"Madera4";"Acaronia_nassa";1
"Madera6";"Acaronia_nassa";1
"Madre_Dios";"Acaronia_nassa";1
"Mamore1";"Acaronia_nassa";1
"Mamore2";"Acaronia_nassa";1
"Marmelos";"Acaronia_nassa";1
"Maues";"Acaronia_nassa";1
"Negro1";"Acaronia_nassa";1
"Negro2";"Acaronia_nassa";1
"Negro3";"Acaronia_nassa";1
"Negro5";"Acaronia_nassa";1
"Nhamunda";"Acaronia_nassa";1
"Orthon";"Acaronia_nassa";1
"Purus1";"Acaronia_nassa";1
"Purus2";"Acaronia_nassa";1
"Putumayo";"Acaronia_nassa";1
"Solimoes1";"Acaronia_nassa";1
"Solimoes2";"Acaronia_nassa";1
"Solimoes3";"Acaronia_nassa";1
"Solimoes4";"Acaronia_nassa";1
"Solimoes7";"Acaronia_nassa";1
"Solimoes8";"Acaronia_nassa";1
"Solimoes9";"Acaronia_nassa";1
"Tapajos1";"Acaronia_nassa";1
"Tefe";"Acaronia_nassa";1
