"basin";"variable";"value"
"Aripuana";"Cetopsis_coecutiens";1
"Bacaja";"Cetopsis_coecutiens";1
"Beni";"Cetopsis_coecutiens";1
"Blanco_Baures";"Cetopsis_coecutiens";1
"Candeias";"Cetopsis_coecutiens";1
"Caqueta1";"Cetopsis_coecutiens";1
"Chapare";"Cetopsis_coecutiens";1
"Coari";"Cetopsis_coecutiens";1
"Curaray";"Cetopsis_coecutiens";1
"Guapore";"Cetopsis_coecutiens";1
"Itonamas";"Cetopsis_coecutiens";1
"Japura1";"Cetopsis_coecutiens";1
"Jari";"Cetopsis_coecutiens";1
"Javary1";"Cetopsis_coecutiens";1
"Jiparana";"Cetopsis_coecutiens";1
"Jurua1";"Cetopsis_coecutiens";1
"Juruena1";"Cetopsis_coecutiens";1
"Luna";"Cetopsis_coecutiens";1
"Madera1";"Cetopsis_coecutiens";1
"Madera2";"Cetopsis_coecutiens";1
"Madera3";"Cetopsis_coecutiens";1
"Madera4";"Cetopsis_coecutiens";1
"Madera6";"Cetopsis_coecutiens";1
"Madre_Dios";"Cetopsis_coecutiens";1
"Mamore1";"Cetopsis_coecutiens";1
"Maranon1";"Cetopsis_coecutiens";1
"Maranon5";"Cetopsis_coecutiens";1
"Napo1";"Cetopsis_coecutiens";1
"Napo2";"Cetopsis_coecutiens";1
"Negro1";"Cetopsis_coecutiens";1
"Negro2";"Cetopsis_coecutiens";1
"Negro3";"Cetopsis_coecutiens";1
"Negro5";"Cetopsis_coecutiens";1
"Orthon";"Cetopsis_coecutiens";1
"Pastaza";"Cetopsis_coecutiens";1
"Purus1";"Cetopsis_coecutiens";1
"Purus2";"Cetopsis_coecutiens";1
"Purus3";"Cetopsis_coecutiens";1
"Putumayo";"Cetopsis_coecutiens";1
"Santiago";"Cetopsis_coecutiens";1
"Solimoes1";"Cetopsis_coecutiens";1
"Solimoes2";"Cetopsis_coecutiens";1
"Solimoes4";"Cetopsis_coecutiens";1
"Solimoes7";"Cetopsis_coecutiens";1
"Solimoes8";"Cetopsis_coecutiens";1
"Solimoes9";"Cetopsis_coecutiens";1
"Tapajos1";"Cetopsis_coecutiens";1
"Tapajos2";"Cetopsis_coecutiens";1
"Teles_Pires";"Cetopsis_coecutiens";1
"Trombetas1";"Cetopsis_coecutiens";1
"Uaupes";"Cetopsis_coecutiens";1
"Urubamba";"Cetopsis_coecutiens";1
"Xingu1";"Cetopsis_coecutiens";1
"Beni";"Cetopsis_gobioides";1
"Caqueta1";"Cetopsis_gobioides";1
"Madre_Dios";"Cetopsis_gobioides";1
"Purus3";"Cetopsis_gobioides";1
"Urubamba";"Cetopsis_gobioides";1
"Branco";"Cetopsis_montana";1
"Maranon3";"Cetopsis_montana";1
"Maranon5";"Cetopsis_montana";1
"Napo1";"Cetopsis_montana";1
"Napo2";"Cetopsis_montana";1
"Pastaza";"Cetopsis_montana";1
"Santiago";"Cetopsis_montana";1
"Ucayali1";"Cetopsis_montana";1
"Urubamba";"Cetopsis_montana";1
"Abuna";"Cetopsis_oliveirai";1
"Amazon2";"Cetopsis_oliveirai";1
"Amazon8";"Cetopsis_oliveirai";1
"Amazon9";"Cetopsis_oliveirai";1
"Aripuana";"Cetopsis_oliveirai";1
"Coari";"Cetopsis_oliveirai";1
"Curaray";"Cetopsis_oliveirai";1
"Japura1";"Cetopsis_oliveirai";1
"Jiparana";"Cetopsis_oliveirai";1
"Luna";"Cetopsis_oliveirai";1
"Madera1";"Cetopsis_oliveirai";1
"Madera2";"Cetopsis_oliveirai";1
"Madera3";"Cetopsis_oliveirai";1
"Madera4";"Cetopsis_oliveirai";1
"Madera6";"Cetopsis_oliveirai";1
"Madre_Dios";"Cetopsis_oliveirai";1
"Maranon3";"Cetopsis_oliveirai";1
"Napo2";"Cetopsis_oliveirai";1
"Negro1";"Cetopsis_oliveirai";1
"Putumayo";"Cetopsis_oliveirai";1
"Solimoes1";"Cetopsis_oliveirai";1
"Solimoes2";"Cetopsis_oliveirai";1
"Solimoes4";"Cetopsis_oliveirai";1
"Solimoes7";"Cetopsis_oliveirai";1
"Solimoes9";"Cetopsis_oliveirai";1
"Ucayali1";"Cetopsis_oliveirai";1
"Madera4";"Cetopsis_parma";1
"Pastaza";"Cetopsis_parma";1
"Solimoes9";"Cetopsis_parma";1
"Ucayali1";"Cetopsis_parma";1
"Urubamba";"Cetopsis_parma";1
"Beni";"Cetopsis_pearsoni";1
"Isiboro";"Cetopsis_pearsoni";1
"Madre_Dios";"Cetopsis_pearsoni";1
"Aripuana";"Cetopsis_plumbea";1
"Beni";"Cetopsis_plumbea";1
"Caqueta1";"Cetopsis_plumbea";1
"Chapare";"Cetopsis_plumbea";1
"Huallaga";"Cetopsis_plumbea";1
"Jurua1";"Cetopsis_plumbea";1
"Madera4";"Cetopsis_plumbea";1
"Madera6";"Cetopsis_plumbea";1
"Madre_Dios";"Cetopsis_plumbea";1
"Mamore1";"Cetopsis_plumbea";1
"Maranon3";"Cetopsis_plumbea";1
"Maranon5";"Cetopsis_plumbea";1
"Napo2";"Cetopsis_plumbea";1
"Orthon";"Cetopsis_plumbea";1
"Pachitea";"Cetopsis_plumbea";1
"Pastaza";"Cetopsis_plumbea";1
"Putumayo";"Cetopsis_plumbea";1
"Santiago";"Cetopsis_plumbea";1
"Ucayali2";"Cetopsis_plumbea";1
"Urubamba";"Cetopsis_plumbea";1
"Arinos";"Cetopsis_sandrae";1
"Guapore";"Cetopsis_sandrae";1
"Juruena1";"Cetopsis_sandrae";1
"Teles_Pires";"Cetopsis_sandrae";1
"Beni";"Cetopsis_starnesi";1
"Grande";"Cetopsis_starnesi";1
"Itonamas";"Cetopsis_starnesi";1
"Ucayali2";"Cetopsorhamdia_filamentosa";1
"Beni";"Cetopsorhamdia_insidiosa";1
"Branco";"Cetopsorhamdia_insidiosa";1
"Iriri";"Cetopsorhamdia_insidiosa";1
"Madre_Dios";"Cetopsorhamdia_insidiosa";1
"Negro2";"Cetopsorhamdia_insidiosa";1
"Unini";"Cetopsorhamdia_insidiosa";1
"Xingu1";"Cetopsorhamdia_insidiosa";1
"Xingu6";"Cetopsorhamdia_insidiosa";1
"Curaray";"Cetopsorhamdia_orinoco";1
"Maranon5";"Cetopsorhamdia_orinoco";1
"Napo2";"Cetopsorhamdia_orinoco";1
"Pachitea";"Cetopsorhamdia_orinoco";1
"Pastaza";"Cetopsorhamdia_orinoco";1
"Santiago";"Cetopsorhamdia_orinoco";1
"Curaray";"Cetopsorhamdia_phantasia";1
"Madera4";"Cetopsorhamdia_phantasia";1
"Madre_Dios";"Cetopsorhamdia_phantasia";1
"Napo2";"Cetopsorhamdia_phantasia";1
"Orthon";"Cetopsorhamdia_phantasia";1
"Putumayo";"Cetopsorhamdia_phantasia";1
"Solimoes9";"Cetopsorhamdia_phantasia";1
"Urubamba";"Cetopsorhamdia_phantasia";1
"Blanco_Baures";"Chaetobranchopsis_australis";1
"Guapore";"Chaetobranchopsis_australis";1
"Mamore2";"Chaetobranchopsis_australis";1
"Teles_Pires";"Chaetobranchopsis_australis";1
"Amazon2";"Chaetobranchopsis_orbicularis";1
"Amazon5";"Chaetobranchopsis_orbicularis";1
"Beni";"Chaetobranchopsis_orbicularis";1
"Blanco_Baures";"Chaetobranchopsis_orbicularis";1
"Branco";"Chaetobranchopsis_orbicularis";1
"Guapore";"Chaetobranchopsis_orbicularis";1
"Itonamas";"Chaetobranchopsis_orbicularis";1
"Jiparana";"Chaetobranchopsis_orbicularis";1
"Luna";"Chaetobranchopsis_orbicularis";1
"Madera1";"Chaetobranchopsis_orbicularis";1
"Madera2";"Chaetobranchopsis_orbicularis";1
"Madera3";"Chaetobranchopsis_orbicularis";1
"Madera4";"Chaetobranchopsis_orbicularis";1
"Madre_Dios";"Chaetobranchopsis_orbicularis";1
"Mamore1";"Chaetobranchopsis_orbicularis";1
"Mamore2";"Chaetobranchopsis_orbicularis";1
"Negro1";"Chaetobranchopsis_orbicularis";1
"Orthon";"Chaetobranchopsis_orbicularis";1
"Purus3";"Chaetobranchopsis_orbicularis";1
"Solimoes1";"Chaetobranchopsis_orbicularis";1
"Tapajos1";"Chaetobranchopsis_orbicularis";1
"Xingu1";"Chaetobranchopsis_orbicularis";1
"Abuna";"Chaetobranchus_flavescens";1
"Amazon1";"Chaetobranchus_flavescens";1
"Amazon2";"Chaetobranchus_flavescens";1
"Amazon5";"Chaetobranchus_flavescens";1
"Amazon8";"Chaetobranchus_flavescens";1
"Amazon9";"Chaetobranchus_flavescens";1
"Beni";"Chaetobranchus_flavescens";1
"Blanco_Baures";"Chaetobranchus_flavescens";1
"Branco";"Chaetobranchus_flavescens";1
"Candeias";"Chaetobranchus_flavescens";1
"Canuma";"Chaetobranchus_flavescens";1
"Caqueta1";"Chaetobranchus_flavescens";1
"Coari";"Chaetobranchus_flavescens";1
"Curaray";"Chaetobranchus_flavescens";1
"Guapore";"Chaetobranchus_flavescens";1
"Japura1";"Chaetobranchus_flavescens";1
"Jari";"Chaetobranchus_flavescens";1
"Javary1";"Chaetobranchus_flavescens";1
"Jiparana";"Chaetobranchus_flavescens";1
"Jurua1";"Chaetobranchus_flavescens";1
"Luna";"Chaetobranchus_flavescens";1
"Madera1";"Chaetobranchus_flavescens";1
"Madera2";"Chaetobranchus_flavescens";1
"Madera3";"Chaetobranchus_flavescens";1
"Madera4";"Chaetobranchus_flavescens";1
"Madera6";"Chaetobranchus_flavescens";1
"Madre_Dios";"Chaetobranchus_flavescens";1
"Mamore1";"Chaetobranchus_flavescens";1
"Mamore2";"Chaetobranchus_flavescens";1
"Maranon1";"Chaetobranchus_flavescens";1
"Napo2";"Chaetobranchus_flavescens";1
"Negro1";"Chaetobranchus_flavescens";1
"Negro3";"Chaetobranchus_flavescens";1
"Negro5";"Chaetobranchus_flavescens";1
"Orthon";"Chaetobranchus_flavescens";1
"Purus1";"Chaetobranchus_flavescens";1
"Purus2";"Chaetobranchus_flavescens";1
"Putumayo";"Chaetobranchus_flavescens";1
"Solimoes1";"Chaetobranchus_flavescens";1
"Solimoes2";"Chaetobranchus_flavescens";1
"Solimoes3";"Chaetobranchus_flavescens";1
"Solimoes4";"Chaetobranchus_flavescens";1
"Solimoes7";"Chaetobranchus_flavescens";1
"Solimoes8";"Chaetobranchus_flavescens";1
"Solimoes9";"Chaetobranchus_flavescens";1
"Tapajos1";"Chaetobranchus_flavescens";1
"Tapajos2";"Chaetobranchus_flavescens";1
"Tefe";"Chaetobranchus_flavescens";1
"Trombetas1";"Chaetobranchus_flavescens";1
"Uatuma1";"Chaetobranchus_flavescens";1
"Ucayali1";"Chaetobranchus_flavescens";1
"Xingu1";"Chaetobranchus_flavescens";1
"Yacuma";"Chaetobranchus_flavescens";1
"Amazon2";"Chaetobranchus_semifasciatus";1
"Amazon5";"Chaetobranchus_semifasciatus";1
"Amazon8";"Chaetobranchus_semifasciatus";1
"Andira1";"Chaetobranchus_semifasciatus";1
"Caqueta1";"Chaetobranchus_semifasciatus";1
"Japura1";"Chaetobranchus_semifasciatus";1
"Javary1";"Chaetobranchus_semifasciatus";1
"Jurua1";"Chaetobranchus_semifasciatus";1
"Luna";"Chaetobranchus_semifasciatus";1
"Madera1";"Chaetobranchus_semifasciatus";1
"Madera4";"Chaetobranchus_semifasciatus";1
"Madera6";"Chaetobranchus_semifasciatus";1
"Negro1";"Chaetobranchus_semifasciatus";1
"Purus1";"Chaetobranchus_semifasciatus";1
"Purus2";"Chaetobranchus_semifasciatus";1
"Putumayo";"Chaetobranchus_semifasciatus";1
"Solimoes1";"Chaetobranchus_semifasciatus";1
"Solimoes2";"Chaetobranchus_semifasciatus";1
"Solimoes3";"Chaetobranchus_semifasciatus";1
"Solimoes4";"Chaetobranchus_semifasciatus";1
"Solimoes8";"Chaetobranchus_semifasciatus";1
"Tefe";"Chaetobranchus_semifasciatus";1
"Caqueta1";"Chaetostoma_alternifasciatum";1
"Caqueta1";"Chaetostoma_anale";1
"Napo2";"Chaetostoma_anale";1
"Curaray";"Chaetostoma_branickii";1
"Huallaga";"Chaetostoma_branickii";1
"Maranon3";"Chaetostoma_branickii";1
"Maranon5";"Chaetostoma_branickii";1
"Napo2";"Chaetostoma_branickii";1
"Pachitea";"Chaetostoma_branickii";1
"Huallaga";"Chaetostoma_breve";1
"Maranon3";"Chaetostoma_breve";1
"Maranon5";"Chaetostoma_breve";1
"Napo2";"Chaetostoma_breve";1
"Pastaza";"Chaetostoma_breve";1
"Putumayo";"Chaetostoma_breve";1
"Santiago";"Chaetostoma_breve";1
"Huallaga";"Chaetostoma_changae";1
"Huallaga";"Chaetostoma_daidalmatos";1
"Maranon5";"Chaetostoma_dermorhynchum";1
"Napo2";"Chaetostoma_dermorhynchum";1
"Pachitea";"Chaetostoma_dermorhynchum";1
"Pastaza";"Chaetostoma_dermorhynchum";1
"Santiago";"Chaetostoma_dermorhynchum";1
"Tigre";"Chaetostoma_dermorhynchum";1
"Branco";"Chaetostoma_jegui";1
"Caqueta1";"Chaetostoma_leucomelas";1
"Huallaga";"Chaetostoma_lineopunctatum";1
"Madre_Dios";"Chaetostoma_lineopunctatum";1
"Maranon3";"Chaetostoma_lineopunctatum";1
"Maranon5";"Chaetostoma_lineopunctatum";1
"Pachitea";"Chaetostoma_lineopunctatum";1
"Santiago";"Chaetostoma_lineopunctatum";1
"Ucayali1";"Chaetostoma_lineopunctatum";1
"Ucayali2";"Chaetostoma_lineopunctatum";1
"Urubamba";"Chaetostoma_lineopunctatum";1
"Maranon5";"Chaetostoma_loborhynchos";1
"Ucayali2";"Chaetostoma_loborhynchos";1
"Madre_Dios";"Chaetostoma_marcapatae";1
"Purus3";"Chaetostoma_marcapatae";1
"Urubamba";"Chaetostoma_marcapatae";1
"Huallaga";"Chaetostoma_marmorescens";1
"Maranon5";"Chaetostoma_marmorescens";1
"Huallaga";"Chaetostoma_microps";1
"Maranon5";"Chaetostoma_microps";1
"Napo2";"Chaetostoma_microps";1
"Pastaza";"Chaetostoma_microps";1
"Santiago";"Chaetostoma_microps";1
"Maranon5";"Chaetostoma_mollinasum";1
"Napo2";"Chaetostoma_sericeum";1
"Solimoes8";"Chaetostoma_sericeum";1
"Maranon5";"Chaetostoma_spondylus";1
"Huallaga";"Chaetostoma_stroumpoulos";1
"Maranon5";"Chaetostoma_stroumpoulos";1
"Huallaga";"Chaetostoma_taczanowskii";1
"Maranon5";"Chaetostoma_taczanowskii";1
"Maranon5";"Chaetostoma_trimaculineum";1
"Santiago";"Chaetostoma_trimaculineum";1
"Caqueta1";"Chaetostoma_vagum";1
"Putumayo";"Chaetostoma_vagum";1
"Amazon5";"Chalceus_epakros";1
"Amazon8";"Chalceus_epakros";1
"Andira1";"Chalceus_epakros";1
"Apaporis";"Chalceus_epakros";1
"Arinos";"Chalceus_epakros";1
"Aripuana";"Chalceus_epakros";1
"Bacaja";"Chalceus_epakros";1
"Branco";"Chalceus_epakros";1
"Candeias";"Chalceus_epakros";1
"Canuma";"Chalceus_epakros";1
"Caqueta1";"Chalceus_epakros";1
"Coari";"Chalceus_epakros";1
"Demini";"Chalceus_epakros";1
"Iriri";"Chalceus_epakros";1
"Jamanxim";"Chalceus_epakros";1
"Japura1";"Chalceus_epakros";1
"Jari";"Chalceus_epakros";1
"Javary1";"Chalceus_epakros";1
"Jiparana";"Chalceus_epakros";1
"Jurua1";"Chalceus_epakros";1
"Juruena1";"Chalceus_epakros";1
"Luna";"Chalceus_epakros";1
"Madera1";"Chalceus_epakros";1
"Madera2";"Chalceus_epakros";1
"Madera3";"Chalceus_epakros";1
"Madera4";"Chalceus_epakros";1
"Maues";"Chalceus_epakros";1
"Negro1";"Chalceus_epakros";1
"Negro5";"Chalceus_epakros";1
"Purus1";"Chalceus_epakros";1
"Purus2";"Chalceus_epakros";1
"Putumayo";"Chalceus_epakros";1
"Roosevelt";"Chalceus_epakros";1
"Solimoes8";"Chalceus_epakros";1
"Solimoes9";"Chalceus_epakros";1
"Tapajos1";"Chalceus_epakros";1
"Tapajos2";"Chalceus_epakros";1
"Tefe";"Chalceus_epakros";1
"Teles_Pires";"Chalceus_epakros";1
"Trombetas1";"Chalceus_epakros";1
"Uatuma1";"Chalceus_epakros";1
"Unini";"Chalceus_epakros";1
"Xingu1";"Chalceus_epakros";1
"Xingu6";"Chalceus_epakros";1
"Amazon2";"Chalceus_erythrurus";1
"Amazon8";"Chalceus_erythrurus";1
"Amazon9";"Chalceus_erythrurus";1
"Andira1";"Chalceus_erythrurus";1
"Blanco_Baures";"Chalceus_erythrurus";1
"Candeias";"Chalceus_erythrurus";1
"Caqueta1";"Chalceus_erythrurus";1
"Chapare";"Chalceus_erythrurus";1
"Coari";"Chalceus_erythrurus";1
"Curaray";"Chalceus_erythrurus";1
"Guapore";"Chalceus_erythrurus";1
"Itonamas";"Chalceus_erythrurus";1
"Japura1";"Chalceus_erythrurus";1
"Javary1";"Chalceus_erythrurus";1
"Jurua1";"Chalceus_erythrurus";1
"Luna";"Chalceus_erythrurus";1
"Madera1";"Chalceus_erythrurus";1
"Madre_Dios";"Chalceus_erythrurus";1
"Mamore2";"Chalceus_erythrurus";1
"Maranon1";"Chalceus_erythrurus";1
"Negro1";"Chalceus_erythrurus";1
"Purus1";"Chalceus_erythrurus";1
"Purus2";"Chalceus_erythrurus";1
"Putumayo";"Chalceus_erythrurus";1
"Solimoes1";"Chalceus_erythrurus";1
"Solimoes2";"Chalceus_erythrurus";1
"Solimoes3";"Chalceus_erythrurus";1
"Solimoes4";"Chalceus_erythrurus";1
"Solimoes7";"Chalceus_erythrurus";1
"Solimoes8";"Chalceus_erythrurus";1
"Solimoes9";"Chalceus_erythrurus";1
"Tapajos1";"Chalceus_erythrurus";1
"Tefe";"Chalceus_erythrurus";1
"Trombetas1";"Chalceus_erythrurus";1
"Ucayali1";"Chalceus_erythrurus";1
"Xingu1";"Chalceus_erythrurus";1
"Abuna";"Chalceus_guaporensis";1
"Aripuana";"Chalceus_guaporensis";1
"Beni";"Chalceus_guaporensis";1
"Blanco_Baures";"Chalceus_guaporensis";1
"Candeias";"Chalceus_guaporensis";1
"Guapore";"Chalceus_guaporensis";1
"Isiboro";"Chalceus_guaporensis";1
"Itonamas";"Chalceus_guaporensis";1
"Jiparana";"Chalceus_guaporensis";1
"Madera1";"Chalceus_guaporensis";1
"Madera3";"Chalceus_guaporensis";1
"Madera4";"Chalceus_guaporensis";1
"Madera6";"Chalceus_guaporensis";1
"Madre_Dios";"Chalceus_guaporensis";1
"Mamore1";"Chalceus_guaporensis";1
"Mamore2";"Chalceus_guaporensis";1
"Orthon";"Chalceus_guaporensis";1
"Amazon1";"Chalceus_macrolepidotus";1
"Amazon2";"Chalceus_macrolepidotus";1
"Amazon5";"Chalceus_macrolepidotus";1
"Amazon8";"Chalceus_macrolepidotus";1
"Andira1";"Chalceus_macrolepidotus";1
"Apaporis";"Chalceus_macrolepidotus";1
"Beni";"Chalceus_macrolepidotus";1
"Blanco_Baures";"Chalceus_macrolepidotus";1
"Branco";"Chalceus_macrolepidotus";1
"Caqueta1";"Chalceus_macrolepidotus";1
"Chapare";"Chalceus_macrolepidotus";1
"Coari";"Chalceus_macrolepidotus";1
"Demini";"Chalceus_macrolepidotus";1
"Guapore";"Chalceus_macrolepidotus";1
"Iriri";"Chalceus_macrolepidotus";1
"Isiboro";"Chalceus_macrolepidotus";1
"Itonamas";"Chalceus_macrolepidotus";1
"Jamanxim";"Chalceus_macrolepidotus";1
"Japura1";"Chalceus_macrolepidotus";1
"Jatapu";"Chalceus_macrolepidotus";1
"Javary1";"Chalceus_macrolepidotus";1
"Jurua1";"Chalceus_macrolepidotus";1
"Mamore1";"Chalceus_macrolepidotus";1
"Mamore2";"Chalceus_macrolepidotus";1
"Negro1";"Chalceus_macrolepidotus";1
"Negro3";"Chalceus_macrolepidotus";1
"Negro5";"Chalceus_macrolepidotus";1
"Nhamunda";"Chalceus_macrolepidotus";1
"Orthon";"Chalceus_macrolepidotus";1
"Purus1";"Chalceus_macrolepidotus";1
"Putumayo";"Chalceus_macrolepidotus";1
"Solimoes1";"Chalceus_macrolepidotus";1
"Solimoes2";"Chalceus_macrolepidotus";1
"Solimoes4";"Chalceus_macrolepidotus";1
"Solimoes8";"Chalceus_macrolepidotus";1
"Solimoes9";"Chalceus_macrolepidotus";1
"Tapajos1";"Chalceus_macrolepidotus";1
"Tapajos2";"Chalceus_macrolepidotus";1
"Tefe";"Chalceus_macrolepidotus";1
"Uaupes";"Chalceus_macrolepidotus";1
"Xingu1";"Chalceus_macrolepidotus";1
"Branco";"Chalceus_spilogyros";1
"Candeias";"Chalceus_spilogyros";1
"Tapajos1";"Chalceus_spilogyros";1
"Trombetas1";"Chalceus_spilogyros";1
"Branco";"Characidium_boavistae";1
"Solimoes8";"Characidium_boavistae";1
"Caqueta1";"Characidium_boehlkei";1
"Curaray";"Characidium_boehlkei";1
"Napo2";"Characidium_boehlkei";1
"Putumayo";"Characidium_boehlkei";1
"Beni";"Characidium_bolivianum";1
"Blanco_Baures";"Characidium_bolivianum";1
"Chapare";"Characidium_bolivianum";1
"Grande";"Characidium_bolivianum";1
"Guapore";"Characidium_bolivianum";1
"Isiboro";"Characidium_bolivianum";1
"Itonamas";"Characidium_bolivianum";1
"Madre_Dios";"Characidium_bolivianum";1
"Mamore2";"Characidium_bolivianum";1
"Orthon";"Characidium_bolivianum";1
"Yacuma";"Characidium_bolivianum";1
"Amazon2";"Characidium_crandellii";1
"Amazon5";"Characidium_crandellii";1
"Amazon8";"Characidium_crandellii";1
"Aripuana";"Characidium_crandellii";1
"Branco";"Characidium_crandellii";1
"Jamanxim";"Characidium_crandellii";1
"Negro3";"Characidium_crandellii";1
"Tapajos1";"Characidium_crandellii";1
"Tapaua";"Characidium_crandellii";1
"Teles_Pires";"Characidium_crandellii";1
"Unini";"Characidium_crandellii";1
"Xingu6";"Characidium_crandellii";1
"Amazon5";"Characidium_declivirostre";1
"Amazon8";"Characidium_declivirostre";1
"Arinos";"Characidium_declivirostre";1
"Bacaja";"Characidium_declivirostre";1
"Branco";"Characidium_declivirostre";1
"Juruena1";"Characidium_declivirostre";1
"Madera1";"Characidium_declivirostre";1
"Negro1";"Characidium_declivirostre";1
"Negro3";"Characidium_declivirostre";1
"Negro5";"Characidium_declivirostre";1
"Tapajos1";"Characidium_declivirostre";1
"Teles_Pires";"Characidium_declivirostre";1
"Uatuma1";"Characidium_declivirostre";1
"Uaupes";"Characidium_declivirostre";1
"Xingu1";"Characidium_declivirostre";1
"Candeias";"Characidium_etheostoma";1
"Caqueta1";"Characidium_etheostoma";1
"Coari";"Characidium_etheostoma";1
"Curaray";"Characidium_etheostoma";1
"Guapore";"Characidium_etheostoma";1
"Huallaga";"Characidium_etheostoma";1
"Javary1";"Characidium_etheostoma";1
"Jurua1";"Characidium_etheostoma";1
"Jutai";"Characidium_etheostoma";1
"Madera4";"Characidium_etheostoma";1
"Madre_Dios";"Characidium_etheostoma";1
"Napo1";"Characidium_etheostoma";1
"Napo2";"Characidium_etheostoma";1
"Orthon";"Characidium_etheostoma";1
"Pachitea";"Characidium_etheostoma";1
"Pastaza";"Characidium_etheostoma";1
"Purus1";"Characidium_etheostoma";1
"Purus3";"Characidium_etheostoma";1
"Putumayo";"Characidium_etheostoma";1
"Solimoes7";"Characidium_etheostoma";1
"Solimoes8";"Characidium_etheostoma";1
"Solimoes9";"Characidium_etheostoma";1
"Tapaua";"Characidium_etheostoma";1
"Tefe";"Characidium_etheostoma";1
"Teles_Pires";"Characidium_etheostoma";1
"Tigre";"Characidium_etheostoma";1
"Ucayali1";"Characidium_etheostoma";1
"Urubamba";"Characidium_etheostoma";1
"Xingu1";"Characidium_etheostoma";1
"Amazon5";"Characidium_fasciatum";1
"Aripuana";"Characidium_fasciatum";1
"Beni";"Characidium_fasciatum";1
"Blanco_Baures";"Characidium_fasciatum";1
"Candeias";"Characidium_fasciatum";1
"Caqueta1";"Characidium_fasciatum";1
"Chapare";"Characidium_fasciatum";1
"Curaray";"Characidium_fasciatum";1
"Grande";"Characidium_fasciatum";1
"Guapore";"Characidium_fasciatum";1
"Huallaga";"Characidium_fasciatum";1
"Itonamas";"Characidium_fasciatum";1
"Jiparana";"Characidium_fasciatum";1
"Madera4";"Characidium_fasciatum";1
"Madre_Dios";"Characidium_fasciatum";1
"Mamore1";"Characidium_fasciatum";1
"Mamore2";"Characidium_fasciatum";1
"Maranon5";"Characidium_fasciatum";1
"Napo2";"Characidium_fasciatum";1
"Negro3";"Characidium_fasciatum";1
"Pastaza";"Characidium_fasciatum";1
"Purus1";"Characidium_fasciatum";1
"Purus3";"Characidium_fasciatum";1
"Putumayo";"Characidium_fasciatum";1
"Santiago";"Characidium_fasciatum";1
"Solimoes3";"Characidium_fasciatum";1
"Tapajos1";"Characidium_fasciatum";1
"Teles_Pires";"Characidium_fasciatum";1
"Urubamba";"Characidium_fasciatum";1
"Xingu1";"Characidium_fasciatum";1
"Xingu3";"Characidium_fasciatum";1
"Xingu6";"Characidium_fasciatum";1
"Yacuma";"Characidium_fasciatum";1
"Amazon2";"Characidium_hasemani";1
"Arinos";"Characidium_hasemani";1
"Branco";"Characidium_hasemani";1
"Juruena1";"Characidium_hasemani";1
"Jutai";"Characidium_hasemani";1
"Teles_Pires";"Characidium_hasemani";1
"Xingu6";"Characidium_hasemani";1
"Guapore";"Characidium_heinianum";1
"Mamore2";"Characidium_heinianum";1
"Demini";"Characidium_longum";1
"Javary1";"Characidium_longum";1
"Madre_Dios";"Characidium_longum";1
"Negro1";"Characidium_longum";1
"Negro2";"Characidium_longum";1
"Negro3";"Characidium_longum";1
"Negro5";"Characidium_longum";1
"Tapajos1";"Characidium_longum";1
"Teles_Pires";"Characidium_longum";1
"Unini";"Characidium_longum";1
"Iriri";"Characidium_nana";1
"Amazon5";"Characidium_papachibe";1
"Andira1";"Characidium_papachibe";1
"Tapajos1";"Characidium_papachibe";1
"Amazon8";"Characidium_pellucidum";1
"Branco";"Characidium_pellucidum";1
"Caqueta1";"Characidium_pellucidum";1
"Guapore";"Characidium_pellucidum";1
"Javary1";"Characidium_pellucidum";1
"Jutai";"Characidium_pellucidum";1
"Madera1";"Characidium_pellucidum";1
"Madera4";"Characidium_pellucidum";1
"Napo1";"Characidium_pellucidum";1
"Napo2";"Characidium_pellucidum";1
"Negro3";"Characidium_pellucidum";1
"Negro5";"Characidium_pellucidum";1
"Pastaza";"Characidium_pellucidum";1
"Putumayo";"Characidium_pellucidum";1
"Santiago";"Characidium_pellucidum";1
"Solimoes7";"Characidium_pellucidum";1
"Solimoes8";"Characidium_pellucidum";1
"Solimoes9";"Characidium_pellucidum";1
"Tapajos2";"Characidium_pellucidum";1
"Tefe";"Characidium_pellucidum";1
"Tigre";"Characidium_pellucidum";1
"Uaupes";"Characidium_pellucidum";1
"Unini";"Characidium_pellucidum";1
"Urubamba";"Characidium_pellucidum";1
"Amazon5";"Characidium_pteroides";1
"Amazon8";"Characidium_pteroides";1
"Amazon9";"Characidium_pteroides";1
"Andira1";"Characidium_pteroides";1
"Branco";"Characidium_pteroides";1
"Candeias";"Characidium_pteroides";1
"Caqueta1";"Characidium_pteroides";1
"Coari";"Characidium_pteroides";1
"Curua_Una";"Characidium_pteroides";1
"Demini";"Characidium_pteroides";1
"Javary1";"Characidium_pteroides";1
"Madera4";"Characidium_pteroides";1
"Negro1";"Characidium_pteroides";1
"Negro3";"Characidium_pteroides";1
"Negro5";"Characidium_pteroides";1
"Putumayo";"Characidium_pteroides";1
"Solimoes3";"Characidium_pteroides";1
"Solimoes8";"Characidium_pteroides";1
"Solimoes9";"Characidium_pteroides";1
"Tapajos1";"Characidium_pteroides";1
"Tefe";"Characidium_pteroides";1
"Uaupes";"Characidium_pteroides";1
