"","tempMin","tempMax","tempMean","tempCV","precMin","precMax","precAnn","precCV","aetMin","aetMax","aetAnn","aetCV","petMin","petMax","petAnn","petCV","ro_mean","npp_mn","npp_sd","npp_cv","SolRad_mn","SolRad_cv"
"Tefe",21.1585481492,31.99157477,26.4494591557,0.304901980754,96.1785839713,327.113647538,2622.10809862,35.7272248367,113.433483178,143.498946407,1551.918381681,0.0820469875753272,114.442017279,154.416239376,1639.139917116,0.0848768240612439,1870.0586800583,2760.13300219,123.31218152,4.46761737286425,14.7449968551,0.061417843992267
"Teles_Pires",15.0968104954,34.7528454801,25.068866086,0.702734536726,7.21552922722,357.567842331,2138.52042756,71.7610010576,54.9906239973,162.85516512,1360.419888059,0.352695130459818,138.187793371,180.236533137,1903.619273685,0.0937513256319058,999.41432656745,1646.16369814,513.319085186,31.1827484572767,14.5687549414,0.517360646775056
"Tigre",19.9054919044,31.3868719418,25.6521104348,0.477329335243,172.857520786,278.255102041,2703.31276604,13.9348967657,116.988443331,154.272944265,1682.735489517,0.0857632166072389,116.988443331,155.2786132,1688.789931177,0.0879776005347453,833.53370448535,2229.48547631,325.788774125,14.6127336368304,14.7634110994,0.0445428247927558
"Trombetas1",21.297435348,33.421640172,26.4169755856,0.622338935837,76.6730303071,387.592555143,2241.3675153,53.9093867602,87.6891681956,136.848277063,1399.5694665801,0.156865044746166,124.385534827,167.903540961,1699.977862299,0.0943264835154261,1102.39256236615,1974.40639814,193.981638333,9.82480802917482,14.7690782163,0.0303303239067158
"Uatuma1",22.1293555232,32.7176700667,27.0125162973,0.435387529719,88.8972569471,363.860495437,2335.43523276,46.2698570954,96.7436153079,138.001840632,1448.7328015979,0.0931889021560429,121.869647468,154.760027609,1643.724569881,0.0744376297608577,1130.5191662713,2283.28996073,99.9737157831,4.37849408102057,14.7710365937,0.0152239085207406
"Uaupes",20.6859842625,31.7753294212,25.9142331288,0.568132648706,156.760069352,371.974566551,3186.47860763,27.163443585,115.229234463,142.29245132,1588.108775674,0.0653729100998214,115.229234463,154.056441718,1630.694131769,0.0788692477176878,2448.85874214,2878.03031786,133.417192826,4.63571186161806,14.767531042,0.0278053663920648
"Ucayali1",19.1316616462,32.9824813938,26.2312554132,0.498965416542,86.3426383683,265.309127979,2186.08350771,31.948638353,112.566166157,155.279541953,1598.590202886,0.119887771588409,125.058259943,170.066568558,1811.640108227,0.0961772999609677,426.7616339526,2277.86999652,523.489816789,22.9815493240948,14.6833017357,0.22421607483387
"Ucayali2",12.1359871773,28.1497870627,20.6933346755,0.60783971629,47.7934121072,225.030213866,1602.81190281,47.8501386028,77.3845724993,137.017638951,1276.0065042671,0.218011634670284,114.984947269,157.353088752,1661.955476747,0.100436427519263,500.428948985,3218.62524499,1074.09666872,33.3712870236105,14.5660931118,0.229324421944274
"Unini",21.5598272679,32.1331820884,26.6398754576,0.308266420503,147.76965923,335.429952749,2703.30425259,27.5765247051,122.977563601,146.185061176,1634.140376129,0.0492365070583971,122.977563601,153.228588416,1676.288481397,0.0644624763622879,1466.6886596686,2735.3012479,99.3017408252,3.63037676019919,14.7708531942,0.00801431449745117
"Urubamba",8.59731259238,27.1192975294,18.5401295136,0.881156204688,33.7696346871,209.175195326,1403.74162033,58.6073344126,64.2609980995,130.694840572,1138.214767369,0.262804980952814,109.650834096,158.016231435,1620.838994861,0.111165738762242,417.925401302,3019.25631557,1184.63645528,39.2360346874477,14.502332229,0.357118567680691
"Xingu1",20.6825812832,32.0141570858,26.0123233197,0.486032657518,34.1337000865,342.82680183,1989.64476449,67.4600280216,59.3070218816,136.905221082,1236.0094778906,0.255867096455605,123.161041744,156.218877488,1652.328882845,0.0794281329593486,1001.15447912195,2491.37116597,224.640023696,9.01672246851014,14.7632762472,0.0384619957761539
"Xingu3",17.8783694403,31.8795401892,24.834897869,0.360061844549,25.7509947829,301.923423822,1867.62663365,62.8023167389,66.0002299054,146.033689981,1285.6433990617,0.269203180950482,132.380758688,163.91350252,1760.516526659,0.0712690391031861,846.6825381913,2690.30558239,136.802876116,5.08503112105457,14.7251125296,0.102541664537012
"Xingu4",16.0077252806,34.5964104757,25.3489203634,0.502303613041,6.4731373597,336.892602886,2073.44901122,71.6246499198,52.9777872795,161.027044361,1358.5196258684,0.359208748887073,139.760972742,183.290732229,1920.377316943,0.096967200130586,853.0617962307,2136.91545332,379.697321376,17.7684765574645,14.6175580167,0.308577477784371
"Xingu6",13.8091204344,34.1852815802,24.720718572,0.969210167083,2.9506806389,320.640174822,1866.71605369,77.3917638253,45.3740849752,161.308615506,1292.8966101266,0.417117221193958,134.022030372,185.431606257,1916.08505766,0.103972046556059,691.717294516455,1173.29721174,287.7973438,24.528937844589,14.4816769862,0.328541847744835
"Yacuma",16.5630482753,33.0237118191,25.4452479579,1.36017049282,44.3626263017,282.18636522,1736.41028222,54.5933955325,81.7330339515,154.214858116,1331.0992605784,0.236686185934085,108.234408269,176.379931091,1736.972784638,0.159165336151808,636.9866774873,1835.6763559,858.535874744,46.7694575890027,14.3874663382,0.208572755791096
