"","basin","WaterColor","Area_km","Chut_hydrofall","Chut_grand","NetworkDensity","Elevation_min","Elevation_max","Elevation_range","Elevation_mean","Elevation_std","Elevation_basinSup1000m","Elevation_basinSup1500m","NbEspeceEnveloppe","DistanceEmbouchure_km","X23ma_cd","X23Ma","X10Ma_cd","X10Ma","NbSites1km_0417","NbSites_0417","Diversity0417","Endem0417","PebasLake","PebasConec","ShannonDiv","SoilDiv","CSup15","CBelow15","Basin","codage","Codigo","Area_log","Chut_hydrofall_log","ElevRge_log","ElevMean_log","ShanDiv_log","CSup15_log","SamplingEff","ElevPro1000_asin","NetworkDensity.s.x","SamplingEff.s.x","DistanceEmbouchure_km.s.x","Area_log.s.x","Chut_hydrofall_log.s.x","codage.s.x","ElevRge_log.s.x","ElevMean_log.s.x","ElevPro1000_asin.s.x","CSup15_log.s.x","ShanDiv_log.s.x","SoilDiv.s.x","NetworkDensity.s.y","SamplingEff.s.y","DistanceEmbouchure_km.s.y","Area_log.s.y","Chut_hydrofall_log.s.y","codage.s.y","ElevRge_log.s.y","ElevMean_log.s.y","ElevPro1000_asin.s.y","CSup15_log.s.y","ShanDiv_log.s.y","SoilDiv.s.y"
"Aripuana","Aripuana","White",87228.58192,1,0,0.160953772,14,528,514,181.8997522,94.41028278,0,0,950,1766.167501,"B","GroupAtlantik","G2","GroupAtlantik",180,251,556,5,0,"Other",0.276904363855596,0.426148074888022,0.795434211,99.08053464,"Madera",12,12,11.3762987945693,0.693147180559945,6.24416690066374,5.20893820055719,0.244438682981695,0.585246892965639,-5.85083439137095,0,0.261302666351699,-0.00286664697789948,-0.246465980506979,0.418753567871136,0.0219046992726827,0.0189592422302515,-0.0537293775178362,-0.0512110036216856,-0.227059021018636,-0.290758457024999,-0.376787608265678,-0.478940703210269,0.261302666351699,-0.00286664697789948,-0.246465980506979,0.418753567871136,0.0219046992726827,0.0189592422302515,-0.0537293775178362,-0.0512110036216856,-0.227059021018636,-0.290758457024999,-0.376787608265678,-0.478940703210269
"Bacaja","Bacaja","Clear",25641.85187,0,0,0.083326808,79,649,570,202.7934241,49.04638919,0,0,184,512.5525417,"B","GroupAtlantik","C2","GroupAtlantik4",26,57,152,0,0,"Other",0.200205768515032,0.0640934542790959,1.508028672,98.12256197,"Xingu",3,3,10.1520201322284,0,6.34738920965601,5.31710685383037,0.182493015856536,0.919497054922233,-6.10892986641093,0,-0.939228465979235,-0.123659793950344,-0.703031733914885,-0.407575037393556,-0.347709094828028,-0.617633775731653,-0.015375862903631,0.000186935474521228,-0.227059021018636,-0.184708747303234,-0.494436854861435,-0.921543759431682,-0.939228465979235,-0.123659793950344,-0.703031733914885,-0.407575037393556,-0.347709094828028,-0.617633775731653,-0.015375862903631,0.000186935474521228,-0.227059021018636,-0.184708747303234,-0.494436854861435,-0.921543759431682
"Beni","Beni","White",118947.7348,0,0,0.13937369,120,6130,6010,1374.761552,1397.509106,46.68693026,35.61056427,655,3151.352508,"A","PebasSudEst","A2","AcreSud",225,302,336,4,1,"Pebas",1.17023567776879,1.54165137329065,58.904304608,40.710284936,"Madera",12,12,11.6864478792727,0,8.70134640303916,7.22676271277905,0.774835768921751,4.0927483657781,-5.97601245487941,0.752243174184217,-0.0724416789669508,-0.0614521460873305,0.258017498761192,0.628089128859398,-0.347709094828028,0.0189592422302515,0.859265796433709,0.907588225616123,0.947351163228415,0.822089210312044,0.630559966688253,0.884735220239326,-0.0724416789669508,-0.0614521460873305,0.258017498761192,0.628089128859398,-0.347709094828028,0.0189592422302515,0.859265796433709,0.907588225616123,0.947351163228415,0.822089210312044,0.630559966688253,0.884735220239326
"Blanco_Baures","Blanco_Baures","Clear",76638.53601,1,0,0.134847771,131,830,699,248.0109608,101.4347508,0,0,596,3393.175703,"A","PebasSudEst","A2","AcreSud",81,121,350,2,1,"Pebas",0.717803633800794,0.860094474795595,0.074416795,99.817505304,"Madera",12,12,11.2468683584771,0.693147180559945,6.5510803350434,5.517496914773,0.54104651772835,0.0717779980853531,-6.45106476469958,0,-0.142436773221933,-0.283784844755599,0.346089349210657,0.331394312968893,0.0219046992726827,0.0189592422302515,0.0603080723870826,0.0954052435161598,-0.227059021018636,-0.453670052742583,0.186539738291703,0.0515483222089976,-0.142436773221933,-0.283784844755599,0.346089349210657,0.331394312968893,0.0219046992726827,0.0189592422302515,0.0603080723870826,0.0954052435161598,-0.227059021018636,-0.453670052742583,0.186539738291703,0.0515483222089976
"Branco","Branco","Clear",189943.9172,26,0,0.181008912,13,2301,2288,276.8681298,277.440277,2.979557801,0.050501679,835,2014.774956,"E","PebasNordEst","H2","AtlantikNord1",251,336,646,16,1,"Pebas",1.12685104578793,1.57093416480543,21.633230211,77.919984002,"Negro",13,13,12.1544893996371,3.29583686600433,7.73587031995257,5.62714664791214,0.754642503576843,3.11941918967114,-6.33737297497582,0.173482846618169,0.57146319167194,-0.230575120472232,-0.155923306974847,0.943994411394636,1.40976291536866,0.0896917997815743,0.50053131913095,0.147506939666227,0.0437842765380303,0.51327477029609,0.592208253575912,0.920532727801409,0.57146319167194,-0.230575120472232,-0.155923306974847,0.943994411394636,1.40976291536866,0.0896917997815743,0.50053131913095,0.147506939666227,0.0437842765380303,0.51327477029609,0.592208253575912,0.920532727801409
"Candeias","Candeias","White",29264.64372,3,1,0.13981971,50,1084,1034,168.0738833,81.81055342,0.049751719,0,870,2513.057456,"F","PebasSudEst3","G2","GroupAtlantik",63,66,434,1,1,"Pebas",0.957537857343943,0.763501692083351,5.926397369,94.073480818,"Madera",12,12,10.2841695377247,1.38629436111989,6.94215670569947,5.13033579867799,0.67168748833512,1.9353398178545,-6.09448062535518,0.0223069433066166,-0.0655438065261033,-0.116897299186665,0.0255508556735528,-0.318380610267395,0.391518493373394,0.0189592422302515,0.205617293268301,-0.0885601000775683,-0.192233179724532,0.137594253243742,0.434657362650655,-0.0665340289165495,-0.0655438065261033,-0.116897299186665,0.0255508556735528,-0.318380610267395,0.391518493373394,0.0189592422302515,0.205617293268301,-0.0885601000775683,-0.192233179724532,0.137594253243742,0.434657362650655,-0.0665340289165495
"Canuma","Canuma","Black",73960.56018,1,0,0.187806305,8,340,332,105.8241771,58.70142682,0,0,944,1498.241944,"B","GroupAtlantik","F2","GroupeAtlantik3",53,68,272,1,0,"Other",0.124749976002156,0.714057790714049,0.146666092,99.8534175,"Andira",10,10,11.2113007801947,0.693147180559945,5.80814248998044,4.67118427824743,0.117560767402986,0.136858681554281,-6.99177955439038,0,0.676587513102164,-0.536848719862968,-0.344044294231987,0.30738792597645,0.0219046992726827,-0.122505872872394,-0.215739593822371,-0.306732751477981,-0.227059021018636,-0.433021483569204,-0.617758314857884,-0.126978007840938,0.676587513102164,-0.536848719862968,-0.344044294231987,0.30738792597645,0.0219046992726827,-0.122505872872394,-0.215739593822371,-0.306732751477981,-0.227059021018636,-0.433021483569204,-0.617758314857884,-0.126978007840938
"Caqueta1","Caqueta1","White",149918.2613,7,0,0.144758372,63,4022,3959,350.628023,509.5267791,7.698706783,5.163726052,758,3068.494022,"G","PebasSystem","D2","AtlantikNord3",167,196,421,8,1,"Pebas",0.598060563473656,1.44868437112556,10.498371966,89.190123964,"Japura",16,16,11.9178521701656,2.07944154167984,8.28399930424853,5.86257386400022,0.46879074617138,2.44220545717357,-6.6397308406558,0.281154950416102,0.0108345184469015,-0.372083831935301,0.227840492012683,0.784275780499762,0.761132287474105,0.301889472435543,0.704195364383396,0.259373671366452,0.21188313020557,0.29841079138114,0.0493092025595268,0.77108529853191,0.0108345184469015,-0.372083831935301,0.227840492012683,0.784275780499762,0.761132287474105,0.301889472435543,0.704195364383396,0.259373671366452,0.21188313020557,0.29841079138114,0.0493092025595268,0.77108529853191
"Chapare","Chapare","White",20138.78056,0,0,0.214970733,172,4010,3838,586.8542225,684.1736234,19.58833699,11.75126405,282,4042.025467,"A","PebasSudEst","I2","Izogog?",99,136,243,1,1,"Pebas",0.299522505103749,1.18734903017684,32.715795113,67.283865287,"Madera",12,12,9.9104522704833,0,8.2529671950008,6.37647899624279,0.261996893228594,3.51796642526898,-4.99774773054053,0.458481714800878,1.09669593710239,0.396392667374507,0.582400011548812,-0.570621605477102,-0.347709094828028,0.0189592422302515,0.69266500367783,0.503563313087561,0.488727593778009,0.639724428235379,-0.343440478385814,0.45160913659803,1.09669593710239,0.396392667374507,0.582400011548812,-0.570621605477102,-0.347709094828028,0.0189592422302515,0.69266500367783,0.503563313087561,0.488727593778009,0.639724428235379,-0.343440478385814,0.45160913659803
"Coari","Coari","Black",35587.04417,0,0,0.174085512,19,107,88,75.21843812,16.5287626,0,0,933,2054.789938,"F","PebasSudEst3","B2","AcreSystem",35,52,309,0,1,"Pebas",0.211621226058582,0.420437615673161,0,99.99996627,"Coari",15,15,10.4797650225126,0,4.48863636973214,4.3336034035013,0.191959319049002,0,-6.52849320421191,0,0.464390123071963,-0.320022693839978,-0.141349876537613,-0.186363162677602,-0.347709094828028,0.23115691488422,-0.706018272535753,-0.46713930841668,-0.227059021018636,-0.476443522220661,-0.476458140766865,-0.485921602105232,0.464390123071963,-0.320022693839978,-0.141349876537613,-0.186363162677602,-0.347709094828028,0.23115691488422,-0.706018272535753,-0.46713930841668,-0.227059021018636,-0.476443522220661,-0.476458140766865,-0.485921602105232
